Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
ABCA5	2.28848	2.14223	2.38404	3.12325	2.38404	2.28848	1.4302	1.58323	16.4252	28.5787	1.736	11.9881	3.3123
ABCB5	1.02674	1.03967	1.01503	1.19139	1.01503	1.02674	1	1	1	1	1.08618	1	1
ABCB7	29.716	31.2412	17.3483	23.4502	17.3483	29.716	42.4547	47.6382	12.1971	17.0795	37.5494	10.8481	7.74012
ABCC6P1	1.04336	1	1.17413	1.1548	1.17413	1.04336	1.35064	1.25797	3.58497	11.026	1.25617	3.86553	2.42547
ABCC6P2	1.21766	1.24022	1	1.15541	1	1.21766	1.41415	1.19922	2.6993	7.48651	1.23381	3.43744	3.99849
ABHD12	21.2574	19.9849	24.8119	17.7808	24.8119	21.2574	31.9512	24.0704	29.4465	39.3041	25.3738	66.3611	19.4999
ABL1	18.3179	18.0579	18.3592	11.5377	18.3592	18.3179	15.8426	10.7334	34.4159	24.4166	16.1399	13.0449	40.9144
ABL2	6.92293	7.21847	7.63143	7.6112	7.63143	6.92293	8.38503	9.21086	5.06991	4.46295	8.29205	3.00584	4.9936
ACADS	1.54219	1.2816	2.42716	1.50098	2.42716	1.54219	1.45514	1.17515	32.9584	32.4623	1.71945	286.094	65.7692
ACKR2	1	1.08751	1.2502	1.14154	1.2502	1	1.11316	1.09072	1.76821	1.84466	1.06388	1.43654	2.57118
ACPP	1.65391	1.82644	6.32123	5.66631	6.32123	1.65391	1.28223	1.1316	1.47606	1.37901	1.34866	1.74322	2.91291
ACSF3	3.1504	2.90945	3.17156	2.27893	3.17156	3.1504	2.82011	2.37856	6.16512	8.85285	3.12069	22.9543	14.4654
ACSM3	3.45807	3.51751	1.3963	1.4276	1.3963	3.45807	7.06871	5.65357	10.0629	6.27261	4.85253	4.97409	2.2405
ACSS3	15.1363	17.1345	48.0862	59.0508	48.0862	15.1363	22.0371	29.0521	2.71268	3.22469	17.3052	1.85047	1.89589
ACTL6A	92.1265	89.9009	52.0062	79.5731	52.0062	92.1265	122.087	166.639	23.1465	24.6894	120.817	25.7757	17.5575
ACTL9	1	1	1	1	1	1	1	1	1	1	1	1	1
ACVR1B	11.6155	11.0851	16.5276	16.7078	16.5276	11.6155	20.4042	17.6354	28.7975	36.9833	20.018	13.8173	28.8083
ACVR1C	1.50438	1.5003	1.43221	1.4559	1.43221	1.50438	1.34024	1.29905	4.59934	9.47999	1.24004	1.87803	2.00145
ADAM21P1	1	1.03268	1.23783	1.04229	1.23783	1	1.02817	1.0271	1.02206	1.04677	1	1	1
ADAM22	7.78704	7.98948	2.04925	2.34475	2.04925	7.78704	9.99719	10.7253	5.17534	4.48288	9.06811	1.133	1.88724
ADCY4	1.10203	1.15014	1.05853	1	1.05853	1.10203	1.01618	1.01556	3.10757	2.51586	1	2.49775	4.93164
ADH5	113.683	111.219	94.8362	118.52	94.8362	113.683	117.083	140.861	39.7992	46.2497	106.933	76.7519	78.2095
ADIPOQ	1	1	1	1	1	1	1.02375	1.04572	1	1	1.04024	1	37.4994
ADK	25.6876	27.8524	20.86	29.2423	20.86	25.6876	37.3065	47.3036	14.3714	12.1675	36.1425	6.79133	10.3314
ADM5	1.65858	1.34762	2.93839	1.89956	2.93839	1.65858	1.43587	1.26208	1.29868	1.56524	1.39985	1.6316	3.38436
ADO	20.0907	21.0076	14.3029	16.5369	14.3029	20.0907	18.5128	23.0623	9.99999	11.2716	17.9891	10.2209	10.9228
AFF2	3.87723	3.87593	1.5087	1.38116	1.5087	3.87723	5.24712	5.26838	1.68125	1.26027	4.70455	1	1.14823
AGAP9	1	1	1	1	1	1	1	1	1	1	1	1	1.04843
AGFG1	23.6005	25.0129	20.5432	25.159	20.5432	23.6005	17.7589	20.1133	15.4646	23.298	17.293	19.8621	10.3945
AHSA1	102.227	97.5447	75.216	101.065	75.216	102.227	109.647	122.293	38.5921	43.4032	110.423	44.4668	49.553
AKAP11	12.2967	13.4057	10.5551	13.149	10.5551	12.2967	11.2607	13.903	15.819	13.8126	12.1079	3.34644	8.04566
AKAP13	10.4884	11.0797	35.4764	39.6459	35.4764	10.4884	8.76728	9.07769	24.0406	16.6407	9.53836	24.6915	19.3245
AKAP5	3.33908	3.14009	2.15734	2.2293	2.15734	3.33908	5.04534	5.15456	6.26346	4.50298	4.39995	1.19108	1.57026
AKR1C3	3.35775	3.1281	4.87175	6.02609	4.87175	3.35775	1.2085	1.25068	1.87743	5.78865	1.29428	298.558	118.874
AKR1C4	1	1	1	1	1	1	1	1	1.04117	1	1.0594	2.2259	1.43063
ALKBH1	9.74226	9.78746	7.18694	10.2074	7.18694	9.74226	9.3827	11.312	5.58244	5.90779	10.1197	8.07826	5.61598
AMBP	1.84461	1.8831	1.05101	1.12696	1.05101	1.84461	1.04229	1	6.19789	2.26523	1	1.98349	1.94994
AMIGO2	4.08447	3.71128	4.31638	6.46688	4.31638	4.08447	5.77118	5.57288	14.658	9.93818	5.81126	1.4215	8.80889
AMPD1	1	1	1	1.03553	1	1	1	1	1.01854	1.01964	1.02672	3.7494	1.14476
AMY1A	1	1	1	1	1	1	1	1	1	1	1	1	1
AMY1B	1	1	1	1	1	1	1	1	1	1	1	1	1
AMY1C	1	1	1	1	1	1	1	1	1	1	1	1	1
ANAPC5	48.9569	48.9904	48.6706	44.773	48.6706	48.9569	58.5099	56.2549	42.6575	46.7157	48.2708	41.131	21.0611
ANGPTL5	1	1	1	1	1	1	1	1	1.01881	1.03986	1	1	1.14657
ANGPTL7	1.02619	1	1.09015	1.0748	1.09015	1.02619	1	1	1.07806	1	1	1	1.65902
ANKRD20A12P	1	1	1	1	1	1	1	1.06494	1.02643	1	1.03811	1	1
ANKRD34C	1	1	1	1	1	1	1	1.00958	1	1	1	1.23007	1.04039
ANKRD36BP2	1	1.03951	1	1.2045	1	1	1.10218	1.19661	1.10668	1.11314	1.07692	1.79078	1.55544
ANKRD62P1-PARP4P3	1	1	1	1	1	1	1	1	1.0305	1	1	1	1
ANO4	2.22105	1.87265	3.39714	3.79253	3.39714	2.22105	1.24592	1.44896	1.43066	1.86533	1.72377	1.66911	1.02937
ANO6	28.6355	31.4806	34.9651	44.1756	34.9651	28.6355	29.822	34.4644	27.5224	32.8382	29.8856	33.1541	28.8731
ANXA11	24.0375	21.0094	43.1881	33.7594	43.1881	24.0375	14.6611	10.8983	44.1336	52.9951	12.2438	241.336	72.7904
AP3M1	24.3179	25.6935	24.6743	31.679	24.6743	24.3179	32.0183	41.8111	16.46	15.8342	33.7731	9.05144	13.2928
APOA2	1	1	32.458	29.1313	32.458	1	11.0472	11.9673	26.1571	39.5426	29.5784	5.63226	1.40747
APOBEC1	1	1	1	1	1	1	1	1	3.54077	15.2282	1	232.677	22.749
APOLD1	1.20913	1.1765	2.25625	2.40539	2.25625	1.20913	2.72047	3.09436	5.22256	4.86801	4.32974	3.16419	34.4581
ARAP2	1.51138	1.58123	1.8845	1.92644	1.8845	1.51138	1.17427	1.26547	2.63868	5.82536	1.22137	13.2416	3.09009
