Genes	tracking_id	AS1	D4CF1	ES1	FS1	AS2	D4CF2	DE2	ES2	FS2	AS3	D4CF3	DE3	ES3
A2M-AS1	0	0.746839	0.560649	0.54976	1.2912	0	0.539697	0.24271	0.453697	0.885033	0.871996	0.88517	0.410949	0.406375
AADACL4	0	0	0	0.0398492	0	0	0	0	0.13194	0	0	0	0	0
AASDH	3.37303	9.72948	8.48407	9.40307	7.02546	2.57608	11.1474	8.17515	10.2292	6.58341	3.08183	12.279	7.79646	8.90612
AATF	23.9507	42.9013	52.8633	46.8769	13.2185	37.9479	37.5941	63.1143	47.6271	17.9277	20.0439	43.8099	43.2358	52.6325
ABCA10	2.92538	0	0.127917	0.00891686	0.798737	1.95958	0	0.051169	0	0.956986	0.361203	0	0.0716175	0.00775007
ABCA5	22.5897	0.735999	2.50061	1.28848	15.4252	10.9881	0.430201	2.12325	1.14223	27.5787	2.3123	0.583227	1.38404	1.4049
ABCA6	0	0	0.0437634	0	0.495864	2.12282	0	0	0	0.109979	1.57348	0	0	0
ABCB5	0	0.0861766	0.0733022	0.0267417	0	0	0	0.191389	0.0396687	0	0	0	0.0150284	0
ABCB7	9.45731	36.5494	21.111	28.716	11.1971	9.84812	41.4547	22.4502	30.2412	16.0795	6.74012	46.6382	16.3483	29.5322
ABCC6P1	12.3832	0.256171	0.132645	0.0433599	2.58497	2.86553	0.350639	0.154796	0	10.026	1.42547	0.257967	0.174127	0.0188431
ABCC6P2	3.83027	0.233805	0	0.217659	1.6993	2.43744	0.414152	0.155409	0.240221	6.48651	2.99849	0.199222	0	0.189177
ABCD2	0	0.0456971	0	0.0106353	1.1416	0.233799	0.0505911	0	0.0352132	0	0.266785	0.0681413	0.0122028	0.0369746
ABCG2	40.6499	6.01117	0.355713	1.00595	2.567	36.3845	4.68374	0.536459	1.18461	3.25794	5.28508	5.30771	0.200122	1.10781
ABHD12	42.1281	24.3738	16.212	20.2574	28.4465	65.3611	30.9512	16.7808	18.9849	38.3041	18.4999	23.0704	23.8119	21.0687
ABI2	1.11741	63.0085	38.6648	53.8286	14.8259	2.65908	66.9318	35.3144	56.7357	7.35828	6.62301	74.0834	36.1194	50.4448
ABL1	8.00906	15.1399	11.3224	17.3179	33.4159	12.0449	14.8426	10.5377	17.0579	23.4166	39.9144	9.73341	17.3592	17.1267
ABL2	2.23961	7.29205	6.36291	5.92293	4.06991	2.00584	7.38503	6.6112	6.21847	3.46295	3.9936	8.21086	6.63143	5.45291
ABT1	19.3067	13.3961	12.0675	10.189	8.91664	21.6469	11.9656	9.3211	10.3374	10.2226	26.5543	12.0704	9.98584	10.4009
ACADS	323.006	0.719446	0.455311	0.542187	31.9584	285.094	0.45514	0.500983	0.281595	31.4623	64.7692	0.175151	1.42716	0.33264
ACBD7	0	6.04288	3.41374	14.0294	1.26038	0.379823	5.86098	2.75992	14.9885	0.612605	1.2003	7.43928	2.81155	15.1183
ACD	2.08847	3.2937	1.98422	3.02215	7.36005	8.45584	3.5062	1.1182	3.6444	10.0787	4.31721	1.91596	5.45384	2.94688
ACKR2	0.68599	0.0638821	0	0	0.768211	0.436539	0.113158	0.14154	0.0875133	0.844661	1.57118	0.0907218	0.250197	0.0172295
ACPP	0	0.34866	4.34843	0.653907	0.476056	0.743218	0.282232	4.66631	0.826439	0.379005	1.91291	0.131605	5.32123	0.95932
ACSF3	25.3431	2.12069	1.00692	2.1504	5.16512	21.9543	1.82011	1.27893	1.90945	7.85285	13.4654	1.37856	2.17156	1.85749
ACSM3	0	3.85253	0.197307	2.45807	9.06289	3.97409	6.06871	0.427598	2.51751	5.27261	1.2405	4.65357	0.396301	2.066
ACSS3	0.668224	16.3052	54.8246	14.1363	1.71268	0.850467	21.0371	58.0508	16.1345	2.22469	0.89589	28.0521	47.0862	13.1929
ACTL6A	34.4651	119.817	72.16	91.1265	22.1465	24.7757	121.087	78.5731	88.9009	23.6894	16.5575	165.639	51.0062	90.1092
ACTL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR10	24.1075	30.3532	46.0229	21.3698	18.872	31.2205	29.3693	39.7234	20	13.4367	14.3657	35.0063	29.3952	21.333
ACTR2	85.853	144.254	252.152	115.101	53.5567	79.526	142.986	229.078	121.469	79.9706	101.902	174.604	173.372	121.623
ACTR3	63.3628	59.7854	89.7148	58.0543	25.8166	55.1974	57.5416	86.7915	60.4792	26.5771	34.5138	71.9882	60.2905	62.2905
ACTR3BP5	0	0	0	0	0	0	0	0	0	0.0299591	0	0	0	0
ACTR6	35.4988	30.2809	41.2228	29.6771	10.5893	16.2002	32.277	37.0884	29.8815	10.7842	11.1669	37.1951	30.1054	31.792
ACVR1B	14.0115	19.018	14.3885	10.6155	27.7975	12.8173	19.4042	15.7078	10.0851	35.9833	27.8083	16.6354	15.5276	9.53894
ACVR1C	1.95467	0.240037	0.312501	0.504383	3.59934	0.878034	0.340243	0.455901	0.500299	8.47999	1.00145	0.299054	0.432209	0.423134
ACVR2A	7.08926	6.64397	14.3467	7.0198	7.67673	7.81347	4.94843	13.4409	7.18224	8.22692	4.46109	5.76791	10.149	6.87003
ADAL	5.35849	9.83821	6.84373	8.0186	2.68421	3.47752	11.4156	6.02299	7.5563	2.57635	2.19068	14.0142	5.04172	6.23816
ADAM19	0.298279	7.61765	115.879	5.50223	8.33858	1.13889	7.5439	137.236	5.29087	2.89408	2.91563	6.07187	138.523	5.31528
ADAM21P1	0.5133	0	0.0603909	0	0.0220623	0	0.0281718	0.0422855	0.0326811	0.046767	0	0.0271034	0.237831	0
ADAM22	0.418016	8.06811	1.27309	6.78704	4.17534	0.133	8.99719	1.34475	6.98948	3.48288	0.887238	9.72531	1.04925	5.82017
ADAMTS7P1	0	0	0	0	0.0255644	0	0	0	0	0.171275	0.0220627	0	0	0
ADAMTSL2	0.268178	0.999767	0	0.155119	0.219667	0.682637	1.80046	0	0.0171181	0.183534	1.0786	0.411744	0.0355947	0.107856
ADAT1	2.54476	6.89627	6.46985	7.50577	4.24129	2.51906	6.93859	7.23894	8.08401	4.33422	4.67525	7.25412	6.66178	7.00037
ADCK3	34.0601	3.84051	1.31084	6.90953	19.2049	21.6746	6.30605	1.92174	6.36219	19.5738	32.773	4.04459	1.82065	7.31471
ADCY4	1.17675	0	0	0.102025	2.10757	1.49775	0.0161756	0	0.150136	1.51586	3.93164	0.0155619	0.05853	0.103454
ADCY7	0.63572	3.26256	5.19943	2.31015	4.4939	0.202275	4.2483	4.58693	2.25504	3.21448	2.60992	3.52616	4.96333	2.31984
