chrome	start	end	peak	refseqID	Gene_Symbol	distance	score
chr19	39709194	39709195	MACS_peak_5776	NM_001001414	NCCRP1	21591	0.0340883362043
chr12	52951280	52951281	MACS_peak_2730	NM_033448	KRT71	4349	0.339640808067
chr14	53207067	53207068	MACS_peak_3883	NM_001130701	STYX	10185	0.155984287182
chr2	64225808	64225809	MACS_peak_6166	NM_016516	VPS54	-20406	0.0399231069963
chr1	15492183	15492184	MACS_peak_52	NM_001136217	TMEM51	13156	0.104964473538
chr11	71796592	71796593	MACS_peak_2139	NM_001145308	LRTOMT	5216	0.302562725293
chr11	71796859	71796860	MACS_peak_2140	NM_001145308	LRTOMT	5483	0.291980965154
chr6	42524434	42524435	MACS_peak_11061	NM_001184801	UBR2	-7325	0.228397746739
chr6	42537483	42537484	MACS_peak_11062	NM_001184801	UBR2	5724	0.282747784376
chrX	105271620	105271621	MACS_peak_14505	NM_000354	SERPINA7	-11098	0.138106060684
chr5	179343455	179343456	MACS_peak_10843	NM_198868	TBC1D9B	8599	0.192716836979
chr14	62178410	62178411	MACS_peak_3933	NM_001243084	HIF1A	14071	0.092909132503
chr21	30407122	30407123	MACS_peak_7540	NM_001001992	USP16	10185	0.155984287182
chr17	75160113	75160114	MACS_peak_5213	NM_003003	SEC14L1	23109	0.0278422674798
chr3	52316451	52316452	MACS_peak_7989	NR_029677	MIR135A1	-11873	0.124547679731
chr3	52318698	52318699	MACS_peak_7990	NR_029677	MIR135A1	-9626	0.168054547183
chr15	31645354	31645355	MACS_peak_4209	NM_015995	KLF13	26297	0.0182012197727
chr21	35344020	35344021	MACS_peak_7560	NM_001288961	LOC400863	22791	0.0290481639726
chr8	29965945	29965946	MACS_peak_12725	NM_001128208	LEPROTL1	13024	0.106828200965
chr2	28129346	28129347	MACS_peak_5942	NM_199193	BRE	15865	0.0731434034975
chr11	18478950	18478951	MACS_peak_1888	NM_144972	LDHAL6A	1577	0.491513109821
chr8	142511507	142511508	MACS_peak_13369	NR_102364	MROH5	-5823	0.27904003858
chr1	68293536	68293537	MACS_peak_250	NR_040077	GNG12-AS1	-4434	0.335813275893
chr13	38170607	38170608	MACS_peak_3235	NM_001286665	POSTN	-2374	0.441961133807
chr10	70098340	70098341	MACS_peak_1480	NM_001033083	PBLD	5656	0.285323021052
chr10	56540723	56540724	MACS_peak_1389	NM_001142764	PCDH15	-20328	0.0403404738548
chr12	133765563	133765564	MACS_peak_3136	NM_152943	ZNF268	7569	0.221086776652
chr1	20466880	20466881	MACS_peak_68	NM_022819	PLA2G2F	1058	0.526730278655
chr2	24289811	24289812	MACS_peak_5929	NM_004881	TP53I3	-18274	0.0530493146297
chr13	99864899	99864900	MACS_peak_3588	NM_177967	UBAC2	11737	0.126826745403
chr5	133760798	133760799	MACS_peak_10610	NR_105044	LOC102546229	-9940	0.161163913871
chr2	24289811	24289812	MACS_peak_5929	NM_004116	FKBP1B	17228	0.0609887006833
chr9	135896369	135896370	MACS_peak_13969	NM_001286709	GTF3C5	-9692	0.166582155194
chr12	27496063	27496064	MACS_peak_2606	NM_020183	ARNTL2	10277	0.154082567651
chr2	133042668	133042669	MACS_peak_6489	NR_031608	MIR663B	28015	0.0144749843987
chr12	56138698	56138699	MACS_peak_2754	NR_037655	BLOC1S1	28881	0.0128964912595
chr1	232930712	232930713	MACS_peak_1035	NM_019090	MAP10	-9925	0.161486564241
chr19	29711520	29711521	MACS_peak_5737	NM_006003	UQCRFS1	7384	0.226608066436
chr18	9113292	9113293	MACS_peak_5282	NM_001204056	ANKRD12	-24268	0.0238556704943
chr7	55114829	55114830	MACS_peak_12066	NM_005228	EGFR	28105	0.0143023226285
chr12	13170837	13170838	MACS_peak_2518	NR_002774	HTR7P1	17462	0.0591152313175
chr15	64660892	64660893	MACS_peak_4384	NM_016213	TRIP4	-19110	0.0474537370209
chr18	29762296	29762297	MACS_peak_5417	NM_005925	MEP1B	-7690	0.217548528602
chr14	62231088	62231089	MACS_peak_3934	NR_045406	HIF1A-AS2	15281	0.0790664479575
chr1	100645663	100645664	MACS_peak_465	NM_144620	LRRC39	1834	0.474955894315
chr10	112051463	112051464	MACS_peak_1711	NM_005871	SMNDC1	-13244	0.103740087494
chr18	61361665	61361666	MACS_peak_5587	NM_001291278	SERPINB11	-8527	0.194575827491
chr8	144707079	144707080	MACS_peak_13375	NM_001130057	EEF1D	27521	0.0154605035274
chr14	27383794	27383795	MACS_peak_3723	NR_036193	MIR4307	5947	0.274464505245
chr4	141348021	141348022	MACS_peak_9562	NM_001130675	CLGN	-794	0.545601367159
chr1	44193191	44193192	MACS_peak_132	NM_174966	ST3GAL3	19988	0.0422113276318
chr9	21993182	21993183	MACS_peak_13490	NR_047540	CDKN2B-AS1	-1607	0.489550984249
chr21	26205170	26205171	MACS_peak_7514	NR_046198	LOC339622	-7693	0.217461526592
chr2	16190939	16190940	MACS_peak_5892	NR_126559	GACAT3	391	0.575720296067
chr6	15640297	15640298	MACS_peak_10937	NM_001271668	DTNBP1	-22992	0.0282800123853
chrX	55504589	55504590	MACS_peak_14259	NR_130469	MIR4536-2	26662	0.0173366359207
chrX	153155842	153155843	MACS_peak_14725	NM_024003	L1CAM	14443	0.0884132588731
chr1	155091442	155091443	MACS_peak_652	NM_018845	SLC50A1	-16845	0.064184084757
chr16	57842181	57842182	MACS_peak_4742	NM_001278081	LOC388282	-2367	0.442373823424
chr22	24198597	24198598	MACS_peak_7647	NR_104247	SLC2A11	-292	0.583370182147
chr11	93835197	93835198	MACS_peak_2254	NM_015368	PANX1	-26896	0.0168040838915
chr18	19758624	19758625	MACS_peak_5341	NR_102763	GATA6-AS1	9695	0.166515535657
chr18	19759430	19759431	MACS_peak_5342	NR_102763	GATA6-AS1	10501	0.14954867807
chrX	74379312	74379313	MACS_peak_14330	NM_001271699	ABCB7	3137	0.399210406433
chr1	91988155	91988156	MACS_peak_412	NM_003503	CDC7	21752	0.0333643716082
chr1	244819790	244819791	MACS_peak_1095	NR_123735	DESI2	3441	0.383352633231
chr2	216289355	216289356	MACS_peak_7043	NR_110607	LOC102724849	-29074	0.0125688552148
chr12	76500482	76500483	MACS_peak_2862	NM_139207	NAP1L1	21744	0.0333999792586
chr8	22000677	22000678	MACS_peak_12693	NM_003018	SFTPC	-18506	0.0514334434838
chr13	51903769	51903770	MACS_peak_3311	NR_049878	MIR5693	-19006	0.0481163456433
chr13	51927357	51927358	MACS_peak_3312	NR_049878	MIR5693	4582	0.329251516208
chr6	42391674	42391675	MACS_peak_11060	NM_001297573	TRERF1	-28115	0.0142832655725
chr1	158882598	158882599	MACS_peak_666	NM_198928	PYHIN1	-18738	0.0498667914387
chr5	92909764	92909765	MACS_peak_10347	NM_005654	NR2F1	-9278	0.176036016325
chr1	158708418	158708419	MACS_peak_664	NM_001005185	OR6N1	-28054	0.0143999098428
chr14	24809582	24809583	MACS_peak_3707	NM_001143919	LTB4R	28878	0.0129016508879
chr10	89250391	89250392	MACS_peak_1582	NM_001178117	MINPP1	-13831	0.095930305712
chr1	156186544	156186545	MACS_peak_654	NM_001199654	PMF1	3766	0.367095468232
chr11	68663606	68663607	MACS_peak_2132	NM_181515	MRPL21	-7697	0.217345578033
chr17	58133797	58133798	MACS_peak_5124	NR_039890	MIR4737	13331	0.102543655202
chr17	78502721	78502722	MACS_peak_5222	NM_020761	RPTOR	-15903	0.0727737475058
chr16	3274145	3274146	MACS_peak_4569	NM_001145447	ZNF200	-11041	0.139159665371
chr15	90241774	90241775	MACS_peak_4506	NM_002666	PLIN1	19126	0.0473526102888
chrX	65386725	65386726	MACS_peak_14291	NM_014799	HEPH	2654	0.425765451928
chrX	65386883	65386884	MACS_peak_14292	NM_014799	HEPH	2812	0.416889811406
chr16	3346722	3346723	MACS_peak_4570	NM_033208	TIGD7	-8717	0.18970848649
chr1	228619162	228619163	MACS_peak_1019	NM_033445	HIST3H2A	-26398	0.0179577530352
chr3	57882671	57882672	MACS_peak_8017	NM_001304422	SLMAP	7031	0.237528736588
chr1	47148846	47148847	MACS_peak_151	NM_001145474	TEX38	11342	0.133685310948
chrX	72803879	72803880	MACS_peak_14323	NM_001300884	CHIC1	20896	0.0373981764664
chr20	143328	143329	MACS_peak_7163	NM_030931	DEFB126	20135	0.0413920408486
chr1	96840103	96840104	MACS_peak_438	NR_110693	LOC101928241	422	0.573345563338
chr1	96853467	96853468	MACS_peak_440	NR_110693	LOC101928241	13786	0.0965076177505
chr10	91097881	91097882	MACS_peak_1593	NM_001289759	IFIT3	5646	0.28570370548
chr11	56367088	56367089	MACS_peak_2082	NM_001004740	OR5M1	-13890	0.0951786145023
chr5	54505112	54505113	MACS_peak_10130	NR_125348	CCNO	-23707	0.0257085069189
chr3	196035936	196035937	MACS_peak_8749	NM_138461	TM4SF19	-29355	0.0121066547285
chr16	70806734	70806735	MACS_peak_4813	NR_034083	VAC14-AS1	17772	0.056721610687
chr11	28142837	28142838	MACS_peak_1947	NM_031217	KIF18A	13091	0.105878119054
chr1	238072958	238072959	MACS_peak_1062	NM_021186	ZP4	18736	0.049880091023
chr10	119796246	119796247	MACS_peak_1754	NR_026939	CASC2	-10085	0.158078004777
chr10	119830849	119830850	MACS_peak_1755	NR_026939	CASC2	24518	0.0230735885899
chr10	119832975	119832976	MACS_peak_1756	NR_026939	CASC2	26644	0.0173782938164
chr1	14938645	14938646	MACS_peak_49	NM_015209	KAZN	13433	0.101158501883
chrX	149091311	149091312	MACS_peak_14715	NM_001013845	CXorf40B	-15405	0.0777699631584
chr8	67523137	67523138	MACS_peak_12908	NM_001144755	MYBL1	-2347	0.443555061237
chr15	69245235	69245236	MACS_peak_4403	NR_033672	NOX5	22397	0.0306149549159
chr5	57764879	57764880	MACS_peak_10155	NM_006622	PLK2	8913	0.184814991542
chr5	40836629	40836630	MACS_peak_10076	NR_037665	LOC100506548	7385	0.226577854042
chr11	49217710	49217711	MACS_peak_2063	NM_001193473	FOLH1	-12512	0.114375696399
chr18	44759153	44759154	MACS_peak_5502	NM_001037802	SKOR2	-16401	0.0680985062992
chr18	44804607	44804608	MACS_peak_5503	NM_001037802	SKOR2	29053	0.0126040973254
chr14	31087631	31087632	MACS_peak_3749	NM_001257376	SCFD1	-3893	0.360931652559
chr14	31101394	31101395	MACS_peak_3750	NM_001257376	SCFD1	9870	0.162675151874
chr14	31108866	31108867	MACS_peak_3751	NM_001257376	SCFD1	17342	0.0600686822861
chr14	31110605	31110606	MACS_peak_3752	NM_001257376	SCFD1	19081	0.0476375800048
chr3	119189978	119189979	MACS_peak_8359	NM_016589	TIMMDC1	-27389	0.0157350170221
chr2	208553711	208553712	MACS_peak_6987	NM_001142300	CCNYL1	-22552	0.0299887390336
chr2	208572644	208572645	MACS_peak_6988	NM_001142300	CCNYL1	-3619	0.37436151405
chr11	36641587	36641588	MACS_peak_1998	NM_001276725	C11orf74	25545	0.0201208236039
chr12	878657	878658	MACS_peak_2455	NM_014823	WNK1	16569	0.0665900574578
chr1	17010740	17010741	MACS_peak_56	NM_001282321	FAM231A	11243	0.135461655132
chr11	89239905	89239906	MACS_peak_2231	NR_120406	NOX4	15172	0.08022393772
chr7	137626645	137626646	MACS_peak_12499	NM_001243523	LOC100130880	-11448	0.131809181101
chr15	93428325	93428326	MACS_peak_4517	NM_001042572	CHD2	-15225	0.0796590202859
chr15	93446525	93446526	MACS_peak_4518	NM_001042572	CHD2	2975	0.407927153172
chr16	29089817	29089818	MACS_peak_4662	NR_003369	RRN3P2	3655	0.372568884535
chr10	54212548	54212549	MACS_peak_1371	NR_120641	LINC01468	-17745	0.056926176483
chr12	97864577	97864578	MACS_peak_2995	NR_031653	MIR1251	-21109	0.0363510084237
chr16	55560605	55560606	MACS_peak_4733	NM_017839	LPCAT2	17693	0.0573222360599
chr18	14952548	14952549	MACS_peak_5317	NR_104164	LINC01443	6283	0.26243985859
chr18	14959371	14959372	MACS_peak_5318	NR_104164	LINC01443	13106	0.105666574431
chr3	180329026	180329027	MACS_peak_8672	NM_001288582	TTC14	9109	0.180047723382
chr1	111504437	111504438	MACS_peak_533	NM_018372	LRIF1	-2129	0.456636930489
chr3	100201276	100201277	MACS_peak_8255	NM_018004	TMEM45A	-10186	0.155963490663
chr12	50206052	50206053	MACS_peak_2720	NR_027499	BCDIN3D-AS1	-16273	0.0692706950319
