Genes	AS1	AS2	AS3	D41	D42	D43	DE2	DE3	ES1	ES2	ES3	F1	F2
LMBR1	24.7846	1.79445	7.67305	27.9149	23.6704	28.5565	27.1046	21.8183	21.8604	24.075	22.3237	11.4107	11.7494
LPCAT3	15.9824	79.4192	42.0356	28.4276	18.5012	19.0896	27.4718	27.8236	34.6124	33.5621	35.2107	17.3882	34.3725
LPHN2	57.0332	1.30956	5.2684	57.8777	62.5862	72.6004	60.7604	45.3566	80.6198	86.7849	72.7546	15.0482	27.331
LRIF1	21.2365	6.02041	8.71262	17.781	19.7685	23.7124	14.9774	11.8774	19.4656	19.9899	20.8138	7.13099	7.76289
LRR1	17.88	13.3091	16.9513	15.4922	19.0074	26.322	15.8293	11.2952	26.0518	23.9981	29.5785	6.07385	5.08884
LRRC27	3.87651	2.44841	2.93102	3.24423	3.89132	3.17683	2.47692	3.44367	1.90161	1.69818	2.07378	4.10853	4.19677
LRTOMT	3.11637	1.56784	2.77559	3.45691	3.30129	4.47422	3.62077	3.27366	2.3544	2.36076	1.96123	2.1262	2.4052
LUC7L3	87.258	341.464	26.2822	128.454	86.1821	99.7248	114.527	80.2746	127.741	130.026	133.003	86.2809	76.1301
MAPKAPK3	20.9808	33.3815	22.4089	12.3114	25.1902	19.6908	13.28	19.7896	24.0302	20.6305	24.4715	21.023	37.4087
MARC1	10.822	2.36328	16.0275	20.0001	10.9103	11.6737	19.2077	13.0351	23.7932	22.9772	24.4525	8.54485	13.8981
MARCH7	63.0985	23.364	18.4572	102.341	69.9083	81.0173	96.8994	74.4413	71.9683	78.2755	75.4089	28.8738	25.4948
MARS2	7.61315	4.1724	8.09455	4.25125	8.40144	8.03077	5.22278	4.06598	12.564	12.967	13.4894	3.79904	4.39583
MARVELD2	5.49066	2.51052	8.59586	8.99493	8.07826	5.62438	9.6923	9.32593	10.1111	11.0051	9.41923	15.4548	21.7503
MCM6	83.9431	11.0712	13.6646	118.947	89.7525	105.887	127.292	101.438	89.4142	91.194	87.1898	16.2062	26.1831
MED27	8.84503	10.0492	12.0221	9.0072	7.99312	8.52131	11.4973	11.187	10.4492	9.92408	10.2563	3.54017	2.65851
MIA3	14.8439	3.63738	6.27881	22.2309	14.4268	15.3699	22.2949	19.3068	16.9648	17.3375	15.4165	14.3443	11.2135
MICU1	29.1499	42.8872	27.7324	38.8762	31.4735	33.5711	35.3463	34.0245	23.6369	25.7961	22.5232	24.9854	30.1423
MPP6	16.0403	1.82277	2.02698	34.3872	17.9023	22.5442	35.3299	27.3439	40.5273	40.6538	39.8936	2.07333	11.9205
MPV17L2	4.06835	23.0555	20.9814	3.86207	4.27885	2.20995	3.98871	10.3208	8.0482	5.69523	8.43524	3.24361	4.34282
MRPL21	54.8682	116.938	39.7905	47.7834	53.1662	50.0047	48.6803	39.6414	63.6819	57.7218	70.4452	30.4642	31.9497
MRPL48	38.2667	59.4809	16.2231	32.5933	37.6428	44.7856	37.1984	22.0528	25.5563	28.4386	30.6565	15.1434	20.3587
MRPL52	22.6086	57.2195	31.7519	24.8256	20.8198	23.7669	25.6904	21.3179	30.1002	26.741	28.9981	14.5414	17.3388
MRPS10	15.2475	14.3157	25.7372	27.1071	16.4039	19.8112	23.937	18.4236	18.9072	19.2476	19.2292	6.77037	10.1606
MRPS22	50.6948	84.5076	25.6279	38.1111	50.5612	61.3356	44.7871	30.7962	42.5518	42.6933	42.8805	24.723	29.537
MTPAP	9.3621	5.76504	5.6247	9.15485	10.1536	10.304	9.17595	7.54637	12.3874	11.7565	12.0027	5.12828	5.79008
MTX2	62.8	28.3951	19.451	63.1438	68.2635	86.9606	64.0463	45.3728	55.6466	57.5475	59.1136	19.5183	18.8497
MXI1	23.6738	24.9596	11.2174	23.1217	22.4867	22.7053	21.7319	15.2018	5.74583	5.74495	5.49487	12.6527	7.64772
MYBBP1A	7.0114	3.97424	7.39271	2.6859	6.80733	3.90613	3.56127	6.35634	11.5193	11.0963	12.4479	9.37347	12.7961
MYL12A	157.851	615.405	250.401	339.045	164.044	181.678	343.424	266.396	210.59	198.772	217.918	86.9557	111.075
NAF1	17.2405	4.25359	2.55316	13.1202	18.2372	23.1921	14.0576	10.3811	19.1646	20.261	16.947	10.2339	6.71013
NASP	254.752	36.0767	26.2618	225.327	273.788	316.691	216.881	178.089	387.617	391.094	403.242	28.4228	31.0482
NCK1	12.6371	7.97802	7.92341	9.142	13.9147	15.3207	9.9362	7.26898	9.72462	9.93747	9.86466	7.93204	6.42445
NCK1-AS1	3.0647	3.17199	1.1858	2.47194	7.23558	4.76315	3.01269	2.41516	6.12611	7.51166	6.48088	2.49418	3.20685
NCK2	20.6599	109.678	66.0283	20.7991	17.0525	18.8255	23.3406	24.0695	25.5275	25.3478	26.6226	35.7848	35.1598
NDUFB4	98.1218	215.038	86.4703	152.513	110.851	70.189	120.226	174.256	118.898	112.223	130.927	60.4485	82.8251
NDUFB9	115.433	377.482	282.557	115.097	105.769	100.398	120.432	111.493	171.861	156.316	187.183	65.8055	93.8121
NEK2	26.644	3.72871	12.7735	28.3418	30.6867	36.1214	26.3324	18.2988	20.2265	21.0174	20.1486	4.34698	4.98783
NFYB	31.9571	3.66805	7.7599	31.5774	31.3005	41.8445	29.7265	21.1693	30.3334	30.7186	34.23	8.27289	8.62489
NGDN	55.5727	46.5108	16.7907	41.2184	57.5346	60.359	47.6217	31.6832	53.5114	52.8819	55.2988	15.9939	17.9143
NGFRAP1	206.65	13.3057	72.0657	304.199	193.76	220.724	296.152	272.155	236.946	217.344	234.144	86.9998	68.3951
NIPSNAP3A	16.4683	22.8108	22.0312	18.6351	16.7316	20.6461	20.4186	15.6165	9.40502	9.70481	9.27091	22.3271	18.1269
NOL7	89.2546	99.9226	17.7147	89.8011	90.6872	112.25	87.9134	55.4806	104.781	93.3235	104.606	37.5558	46.1667
NOMO1	6.67716	6.53892	7.35735	6.00789	8.1122	6.914	7.71874	7.65935	7.66194	7.36745	7.07043	2.50798	6.45831
NRP1	15.3904	2.85244	14.0975	11.487	10.3109	7.43642	14.8555	10.3327	2.60906	2.55614	3.0415	14.9889	8.12188
NSMCE2	50.3022	19.2212	11.9212	34.3768	46.2531	57.0995	32.8938	27.4247	26.7745	21.7138	27.8404	8.91869	10.2922
NSMCE4A	54.6303	41.2711	8.94967	43.6035	57.4299	71.6566	46.5761	33.5087	56.9986	55.4766	57.1313	22.827	19.1348
NUDT16	16.197	52.062	36.8843	10.1447	17.7263	18.7264	11.0592	8.66296	16.1929	15.961	15.6201	12.5573	17.61
OCRL	21.1546	7.80267	7.68361	8.54999	22.6965	28.2211	9.42352	7.08807	12.39	12.5836	11.4448	13.5665	10.9928
OPTN	5.55168	100.553	19.2679	30.9465	3.70328	3.97272	29.4899	32.0822	29.8664	31.0606	29.5055	30.4483	32.67
ORAI1	1.44681	23.2697	55.7389	1.45929	1.6418	1.3869	1.02179	2.17322	1.47316	1.67232	1.57305	15.9883	15.5375
ORMDL1	31.7793	20.0013	18.9184	41.1214	29.3688	37.7407	39.9495	26.293	30.3996	30.3358	33.4588	16.5022	19.061
OXCT1	11.2859	2.15081	17.8729	13.1553	12.1807	14.5813	13.5611	10.5784	23.1793	23.8382	23.3176	10.1641	8.85239
PALLD	45.471	47.5155	22.8199	14.5371	40.7295	44.8864	17.1433	11.7408	29.7725	31.6277	28.9327	47.1627	13.7733
PARD6B	2.6077	9.80529	3.08412	3.25853	3.66469	3.57104	2.88297	2.45854	4.09968	4.85272	4.55362	4.4776	7.61849
PBX3	20.5646	5.72074	5.48794	20.3573	7.209	8.5163	20.8318	20.8364	20.5299	19.1981	19.0521	19.7407	6.15951
PCNX	9.21262	6.03808	4.77794	15.6157	10.3301	11.83	15.7507	13.9866	13.6337	14.0653	12.3912	11.7117	18.7969
PCYOX1L	10.402	1.53884	7.15984	3.98781	12.6676	12.6772	5.08589	4.64733	10.5216	9.19736	9.56974	12.3158	26.4384
PDHA1	32.1312	50.0663	48.0302	53.2459	34.5551	33.7028	60.3752	51.6752	33.5814	33.159	35.1314	15.6931	19.426
PDS5B	19.7446	5.92424	4.00102	28.0006	20.3306	23.9883	24.8684	19.9299	20.628	21.9727	19.999	10.8996	8.57911
PEX11A	3.94948	17.4494	7.94061	2.07017	4.07334	4.23864	2.21371	2.12929	1.92079	1.5933	1.48999	5.06927	7.78821
PEX7	6.97988	5.67284	3.32074	7.58499	8.25611	9.07769	6.89818	6.32739	8.76354	7.83192	8.69431	6.14504	8.07658
PFDN1	61.0439	63.7249	52.0695	57.0036	57.3601	51.8807	50.9197	52.5548	45.1699	42.5304	47.5266	18.8166	25.6936
PHTF2	13.5744	2.82773	2.6644	12.4842	13.4201	17.7095	13.0881	9.53688	11.6531	13.0109	12.0646	6.90965	4.43439
PKP2	15.8478	13.7647	24.1649	31.2024	16.0252	13.053	27.7611	22.9018	12.5299	12.0505	12.4643	16.9816	10.9421
PKP4	31.7388	15.8058	15.8801	31.9869	35.633	37.2331	31.561	30.6602	34.3453	34.9684	32.9368	15.3716	19.4305
PLAA	24.2407	9.35689	7.12548	29.8376	24.1175	32.0993	32.3566	22.4217	34.3329	35.8862	33.3393	8.0767	7.36154
PLAGL2	17.4919	3.96478	12.1223	8.74697	20.0683	22.0771	9.18691	8.7038	10.9327	10.4402	10.6344	32.9719	65.8852
PLBD1	9.5433	6.28009	19.9717	10.3813	11.8801	9.05775	9.5715	7.47292	12.204	11.5479	11.4589	39.3046	24.9424
PLEKHA5	19.7735	12.7322	7.16845	33.703	19.6884	22.2025	32.3833	25.5577	44.6543	46.9762	43.2713	18.8552	16.5674
PLK2	27.6677	7.42829	5.4541	19.8598	25.1463	31.9482	24.8017	15.3805	13.1946	12.6781	13.6664	11.1139	9.72234
PMF1	43.6854	40.202	39.4276	47.4545	45.123	33.7924	45.1815	57.703	57.5489	49.7523	57.0771	29.9496	30.8249
PMS1	30.658	1.58092	4.249	31.7972	32.4886	40.7783	28.3892	24.4488	33.3551	32.5533	33.5528	7.30925	5.96409
POFUT1	18.274	11.7354	29.0118	14.0249	20.4985	17.6752	15.0096	15.4284	11.6035	11.0947	10.5066	43.4884	70.1203
POGLUT1	12.7952	2.16766	8.40405	11.5832	12.2572	15.7324	11.4727	7.41425	9.36318	9.58442	8.81723	5.76202	6.20245
POP4	10.143	20.1471	12.2003	12.3358	8.36826	11.4027	11.8944	8.99922	9.16923	8.62721	9.45918	5.65539	5.91764
PPAP2B	15.1443	6.5864	40.9141	9.72785	15.3386	14.8535	11.1848	8.05785	18.3226	17.075	17.7761	27.1669	35.9086
PPP1R3B	3.78905	1.56866	6.07768	46.0948	3.41407	3.63917	40.4426	43.4437	17.4738	17.8111	16.9329	35.764	33.1839
PPWD1	38.1269	10.1421	7.0853	40.6263	38.3731	43.9212	37.1362	31.1149	35.9346	36.5057	37.9416	19.4813	22.4844
PRKACB	27.2004	4.21013	8.16347	17.004	27.4507	36.2359	15.4126	13.54	22.3079	24.453	23.27	35.9667	14.9265
PRKCA	2.87061	21.7149	10.7226	1.71698	2.73054	3.40923	1.76691	1.36846	5.59347	5.97619	4.9059	11.3164	12.1055
PRPS1	64.6094	8.02479	13.5716	77.8579	74.8587	78.0571	80.6974	64.1308	173.752	167.638	175.065	10.0323	10.1876
PSMA5	38.1089	55.3887	12.8227	42.5511	36.5362	44.8148	43.2306	31.3428	53.5324	49.7257	53.6201	12.4567	18.4768
PSMG2	73.7416	92.1115	43.0573	60.334	75.3876	90.0064	61.0775	43.5671	69.2196	69.3141	68.2403	28.102	36.6379
PTBP2	22.6556	1.83178	5.62789	30.9617	22.4411	27.8064	28.0738	22.6715	40.6505	40.308	45.8641	14.3545	7.27494
PTGFRN	18.6918	4.23348	17.6241	10.8129	21.7474	18.9076	12.3916	13.7454	6.95303	6.73227	6.79263	15.7203	6.63155
PWWP2A	16.1062	7.89776	8.94732	23.3765	17.2841	18.3768	23.5812	16.9715	35.8366	37.6879	39.5003	15.0612	12.5021
QSER1	25.3111	1.1825	4.42837	48.9217	27.6419	31.4392	53.2786	39.6239	45.9478	50.7833	43.4709	10.159	9.32145
R3HCC1L	14.4643	6.14552	5.47313	11.9971	14.3156	15.8686	12.8345	9.13842	12.2729	11.8544	13.1724	9.48993	11.1167
RAB11FIP2	9.7193	1.43505	3.49093	11.4903	10.8356	12.4481	9.68388	8.41233	9.46783	10.0786	9.71259	6.9743	6.33925
RAB14	34.8535	41.3146	33.9321	39.5696	35.1556	39.1968	38.5302	30.7324	28.7946	29.5177	27.4815	28.5222	32.3431
RAD23B	110.314	51.2783	51.8647	120.53	114.513	131.67	114.996	89.17	96.65	101.258	109.922	35.5108	43.3557
RAD50	15.6975	8.26285	8.40646	23.4416	16.3745	16.9659	23.0891	18.8165	24.2873	27.4179	23.1518	12.9514	14.4713
RBBP5	12.984	7.71148	5.95204	11.8026	14.2076	16.4652	11.2199	10.0163	12.4686	12.1655	12.597	6.52458	7.02806
RBM3	74.8988	71.0467	44.6522	104.412	73.7123	77.3744	101.839	78.8019	59.7118	59.1416	68.0823	32.9016	35.8399
RBM4	64.1715	49.6954	61.6882	53.5177	57.9265	62.1532	58.4028	46.8941	69.4353	67.9322	70.77	29.4791	44.3746
RBM47	3.16588	95.6887	52.6404	6.45347	2.92455	2.53408	7.15891	5.58926	25.2258	26.1303	28.0894	49.3979	59.8177
RBM6	46.5319	114.348	19.4031	73.633	43.9331	46.6905	71.6727	61.7178	68.7525	64.6314	71.8319	34.7929	43.1973
REEP4	6.2231	8.10018	19.6291	9.57174	7.22096	5.63822	9.68664	11.1487	6.59999	6.23198	5.8001	10.3519	8.63336
REV1	16.3663	7.43024	5.77663	16.8054	15.5628	18.4523	15.9307	12.3061	16.4612	16.1142	15.055	11.1454	11.0454
RGMB	17.3925	3.56919	57.1401	26.786	10.3337	12.8208	27.3666	21.7721	6.87827	6.7517	6.6409	28.5247	27.3786
RGS5	51.1442	8.222	12.6622	62.1201	34.3381	41.7004	66.3071	42.8287	23.8566	23.8748	22.2016	31.1059	5.29134
RHBDD3	1.87459	8.65291	23.0679	2.61484	1.76193	1.36912	2.54292	4.16813	2.70673	2.55493	2.78591	6.87152	8.07552
RIOK1	28.8354	9.53498	7.88659	27.5335	28.9057	39.2142	27.1659	17.1879	23.2669	24.0381	25.1981	8.78986	8.01257
RMDN2	2.08669	5.85341	1.91366	2.79655	1.49828	1.83755	3.03161	1.53056	2.23798	2.19198	2.10478	6.2459	10.3625
RNF10	36.4555	69.9495	27.3701	46.3365	37.3243	39.0933	50.6265	49.4878	56.2082	54.2886	51.1994	24.7697	20.8661
RNF145	70.758	11.2721	17.8381	52.0437	75.5138	95.1519	50.0692	38.6826	39.8853	42.284	42.1945	20.1711	16.6247
RNF19A	9.0981	33.1506	14.2919	48.0428	8.92029	10.7679	48.4491	41.4624	6.26896	5.66883	5.7031	26.9275	34.2787
RNMTL1	7.01882	15.8633	16.3153	4.81406	10.122	9.9573	5.12947	4.47472	10.3314	10.685	11.5663	6.54972	7.94525
RPL37	442.809	487.141	45.9555	161.34	489.785	298.826	151.007	220.041	246.609	218.453	290.537	166.708	206.725
RPS27A	382.405	692.732	693.445	302.122	420.033	491.083	359.659	221.479	376.598	319.366	314.45	47.6567	170.312
S100A10	53.9275	997.959	331.057	256.489	50.1443	56.0577	272.919	138.776	95.8483	91.3297	98.0928	331.703	308.627
S100A4	43.3239	108.689	167.769	12.2992	69.5622	58.9822	11.1448	15.8743	47.2811	42.2844	46.5398	11.1184	5.38614
SAAL1	44.3573	6.37203	4.23617	26.4488	48.7259	62.7048	33.2761	20.5014	51.9159	49.3912	51.3847	7.32897	7.35434
SCAF4	22.7958	8.11353	9.44626	21.4143	21.8015	24.0467	23.9875	19.8253	29.2998	29.2294	27.2115	13.0174	18.737
SCFD1	46.0671	18.731	3.12698	62.5627	48.7478	66.4789	60.7535	42.6922	51.2751	51.9003	53.3864	21.4255	26.7216
SEC22B	41.9089	53.8709	45.9724	45.5241	41.6064	47.3851	44.7935	35.0949	29.9361	32.1055	31.8448	46.5925	47.9333
SETDB2	2.76399	3.32598	2.45256	5.49029	3.12389	3.87249	4.82696	4.08496	3.49879	3.76454	3.28919	5.15958	6.72911
SF3B6	150.698	226.052	67.3364	141.682	171.696	164.302	146.812	110.997	156.575	156.535	166.737	47.8011	58.9781
SFR1	7.55077	3.93716	8.21073	6.78427	7.8727	9.28435	5.27308	5.97215	6.58438	6.28478	6.8442	2.75142	5.2761
SGTA	15.0955	80.4505	57.8546	8.49779	13.6898	8.12505	7.65016	17.0151	12.5002	11.311	12.9564	18.4742	17.1416
SH3BGRL	68.5726	70.7077	49.9463	60.8079	54.1283	70.1866	55.4264	41.9365	49.8404	53.1524	55.2704	69.9961	46.7873
SH3D19	24.9253	53.9043	28.0827	18.5511	24.5054	27.2366	23.8847	17.9032	27.7886	29.9732	26.9588	26.5989	33.0055
SH3KBP1	8.92844	5.08822	8.2975	11.9287	11.4606	10.3832	11.0509	10.3833	7.45561	7.37742	6.90479	5.82133	5.77804
SLC10A7	3.55825	1.34347	2.97774	2.92641	3.0498	3.50628	3.0954	2.13517	1.60283	1.88691	1.64518	3.58391	3.51607
SLC24A1	2.17291	1.29494	3.01125	2.11056	2.20527	2.33142	2.6266	2.2758	1.68177	2.03066	1.98429	2.97904	2.96506
SLC26A2	10.0806	3.04966	5.56766	9.48451	9.75359	11.1117	8.94061	7.73319	6.44831	6.59581	6.04493	165.958	78.6887
SLC2A11	2.68119	5.82728	2.24711	1.71409	2.11546	1.69277	1.90285	1.96424	3.66752	3.08007	2.91659	4.03692	4.12776
SLC35A1	17.9365	12.6608	13.6124	10.7363	20.0957	22.8	10.2874	8.43419	10.8616	12.0401	10.9087	29.9456	22.3362
SLC35D1	4.99999	5.37351	7.59702	3.84704	4.00465	4.74801	3.60406	3.15633	1.98239	2.4963	2.04937	19.4065	26.4581
SLC7A6	12.6614	3.41623	8.8444	35.9547	12.4273	14.5749	37.0944	31.5902	15.9023	16.1266	15.5311	6.93426	5.31554
SLFN5	4.20038	5.13766	7.16806	16.5515	4.32851	4.47949	18.4727	15.1247	3.33236	3.70493	3.01388	3.20799	1.97816
SLIRP	255.167	402.012	31.4298	348.507	220.79	287.4	351.083	246.529	548.31	506.518	547.312	37.865	58.4639
SLMAP	12.8481	23.6548	13.7591	17.5484	12.8957	15.2058	17.4317	14.1102	18.8678	21.1525	18.9443	29.9526	15.1555
SMARCA1	84.0374	2.55112	3.91862	78.4036	93.9804	112.925	70.4361	58.4087	61.8883	64.5996	62.0788	20.9368	17.4446
SMC2	31.3805	1.0399	7.08357	28.1526	32.5361	43.835	28.9708	21.3232	28.7316	31.7056	28.7779	10.0423	8.3734
SMEK2	27.8016	26.8211	21.5995	32.5585	28.6627	34.6943	30.7176	26.1454	19.1288	20.019	19.6528	21.6677	29.9944
SMG1	11.3037	7.10826	8.05742	25.8727	11.0371	13.3141	29.1686	22.8319	23.1541	25.6493	21.0225	16.4332	17.1196
SMIM3	14.7956	21.4873	21.2962	2.35397	19.2535	18.6876	2.52731	2.97241	31.2411	28.4498	30.9652	10.1104	5.10258
SNHG12	15.686	61.6724	16.2562	13.3287	11.5611	18.413	14.4365	10.0764	26.244	24.7944	27.2476	15.5679	24.1703
SNW1	70.2952	49.5572	20.2668	54.6956	73.8123	93.0353	53.7713	41.5728	60.4067	58.6332	63.3785	24.2202	25.6451
SOCS2	11.8912	5.16482	7.4492	51.2594	10.0352	12.0566	46.1367	36.893	15.1681	13.4831	14.6719	9.69372	10.6322
SORL1	7.69482	4.67921	3.71584	17.3718	10.7633	8.8784	17.4305	16.5024	27.1367	29.1658	24.816	31.9333	29.8079
SPECC1L	19.3766	9.8821	12.5783	14.5494	18.5183	19.9051	16.1546	13.6735	14.1864	13.8332	13.7752	17.9681	11.6702
SPG21	72.9235	65.0724	44.2412	56.211	77.9479	85.8423	61.1409	52.2455	61.6206	59.7547	58.4619	37.9158	80.1916
SRSF4	62.9503	62.1117	56.7986	58.2974	68.4686	66.9467	55.1418	56.1098	65.0387	63.7962	63.6325	46.2422	53.1882
SSFA2	31.2184	27.1468	35.3419	7.95132	30.6476	31.4771	8.99775	8.10567	4.05174	3.88766	3.40903	47.4823	41.1593
ST7	10.3646	6.04118	6.25457	2.98204	6.20914	7.79586	4.04195	3.13959	11.2794	10.3679	10.3179	8.63225	13.2185
STK33	11.9045	1.30091	1.19889	13.0306	11.5517	13.3536	13.0874	7.94426	15.5009	15.1561	16.8289	2.63015	1.9309
STK39	24.2201	34.0814	25.6191	19.3082	23.7368	27.9186	17.8651	14.9261	23.2949	24.6097	25.4282	14.0985	8.70465
STS	1.93942	1.36147	3.51678	2.07573	1.3809	1.58775	2.28756	1.94973	1.47802	1.29912	1.55385	4.80303	2.86771
SUCO	25.079	15.7699	9.63529	64.3906	24.6732	32.0689	59.9887	46.1072	27.2857	30.3118	28.1705	15.0673	20.297
