Genes	AS1	AS2	AS3	D41	D42	D43	DE2	DE3	ES1	ES2	ES3	F1	F2
TBX20	1	1	1	1	1	1	1	1	1	1	1	1	1
TCEANC	1.20657	1.37714	1.0277	1.90899	1.06863	1.57071	1.11389	1.53939	1.34165	1.72177	1.35592	1.65044	1
TCP11L1	14.3995	8.74994	3.69779	20.5503	15.8349	15.1314	18.083	22.5321	7.51238	8.31558	6.70484	7.11453	4.7559
TCTEX1D2	40.8942	10.3162	1.68867	20.8764	36.3286	47.1623	23.1582	19.5184	17.6933	18.6155	20.1828	6.32718	5.46546
TDP1	19.489	1.4486	3.78126	16.0715	20.7982	23.8923	15.6949	16.0195	27.7223	26.7706	27.5311	4.78154	5.75873
TDRD12	1	1	1	1	1	1	1	1	1	1	1	1	1
TECTB	1	1	1	1	1	1	1	1	1	1	1	1	1
TES	33.4818	75.8458	34.9162	36.6101	35.5693	32.8738	36.0168	27.3841	18.7232	18.8739	17.6369	45.0437	26.6192
TET1	17.2431	1	1	16.25	20.9793	21.9269	16.8178	15.3373	17.3162	19.4583	14.6808	2.30138	2.05206
TEX36	1	1	1	1	1	1	1	1	1	1	1	1	1
TFAP2A	1.9916	1	1	1	1	1	1	1	1	1	1	1	1
TFAP2A-AS1	1	1	1	1	1	1	1	1	1	1	1	1	1
TGIF1	61.2429	21.0215	39.8173	142.472	60.6684	60.4702	138.458	133.516	154.75	147.997	155.773	28.9211	31.2802
THOP1	16.5603	41.0533	25.1377	6.17425	18.6329	9.82637	7.58221	14.7763	11.9001	10.7177	12.5694	8.34708	7.88528
TIGD4	1.94069	1	1	3.93021	2.65844	2.40328	2.88952	3.20614	1.85484	1.86101	1.88431	1	1.34999
TIGD7	5.54847	2.60916	2.3558	5.0081	5.15583	5.42531	5.12697	4.15832	4.30158	4.7101	4.66603	4.79632	4.39541
TLL1	1	1	1.98315	1	1	1	1	1	1	1	1	1.80815	1
TLR1	1	1	2.11501	1	1	1	1	1	1	1	1	1.13822	1.28668
TM9SF4	40.3372	9.87246	20.0716	33.6863	49.0712	38.8096	38.099	46.408	35.0326	34.1426	32.2729	35.3151	44.0726
TMED9	119.001	47.7924	124.559	98.0203	126.729	89.581	100.588	118.517	80.4563	73.4307	86.6617	68.0636	66.5602
TMEM126B	58.6597	52.2449	39.8634	67.0332	60.7045	78.3463	65.4492	43.1073	85.3165	85.0871	88.8224	27.8893	37.1189
TMEM132B	1.16665	1	1	1.93228	1	1	2.60785	1.78424	17.8143	18.6159	16.4185	1	1
TMEM136	8.83252	1	1.43897	7.43366	9.54943	10.6023	7.90053	7.2508	6.35779	6.85345	6.57348	2.8205	1.61179
TMEM160	1	62.548	3.5849	1	1.4982	1	1	1.66787	1	1	1	8.82401	8.76893
TMEM161B	8.78712	9.94401	7.36592	9.90942	9.12885	9.53931	10.3323	7.89182	9.57195	10.5712	10.7954	8.00091	11.786
TMEM161B-AS1	7.32314	5.35846	3.64712	2.5201	7.66176	7.46306	1.63796	2.9784	8.85373	9.35167	9.04085	3.06905	2.665
TMEM170A	20.9197	2.85471	12.9121	17.5651	23.6035	27.1794	21.202	17.773	21.2104	22.2031	17.597	20.1428	20.8166
TMEM171	1	4.55858	36.4319	1	1	1	1	1	1	1	1	2.38151	13.8146
TMEM212	1	1	1	1	1	1	1	1	1	1	1	1	1
TMEM30B	1	27.2174	36.7323	2.73427	1	1	2.77975	2.75119	8.41805	8.75	8.68348	16.806	19.8347
TMEM39A	14.3193	2.80843	5.78191	17.1218	14.1405	15.5173	17.5274	12.8791	11.4719	10.9954	11.5069	9.50333	9.72827
TMEM60	39.7377	16.3758	28.4505	27.3137	39.5456	52.2475	21.224	22.8626	34.3802	32.5363	33.1464	20.4769	22.2762
TMEM87A	22.9693	10.1937	17.6346	26.7102	23.3578	27.2514	29.3625	21.0191	28.0365	25.3368	26.9054	26.8415	24.7133
TMSB10	1504.04	1839.86	1572.62	3405.43	1284.23	1177.79	2886.51	3196.38	886.479	837.178	1014.04	682.73	617.161
TMSB15B	41.4098	1	5.596	61.7386	33.1881	41.7788	55.894	42.6035	17.6195	16.0526	17.6778	5.71374	3.38565
TMX1	41.1814	6.47282	13.6633	23.376	46.1383	57.0855	24.2916	15.6433	49.8133	50.554	54.7431	9.88007	13.6594
TNFAIP8	17.0471	12.7125	6.9917	58.958	18.3576	24.2671	48.6465	36.5491	15.5615	16.3378	16.9528	10.5036	5.89607
TNFRSF11A	1.45803	17.4783	28.0454	3.43452	1.59027	1.89807	3.28898	2.65721	8.9477	8.10006	8.47594	11.4402	13.1656
TNFSF15	1	14.735	1	1	1	1	1	1	1	1	1	1.50582	3.32384
TNFSF18	1	1	1	1	1	1	1	1	1	1	1	1	1
TNIK	6.35313	17.8681	6.3023	4.22588	4.66695	6.5093	4.29193	4.17115	20.1674	20.805	18.5411	5.33103	12.0503
TNPO1	68.2666	15.5371	13.4353	69.3881	68.4453	84.4383	73.5561	51.3539	79.3373	84.5399	79.7312	23.9102	25.4446
TNRC6C	4.82127	1	2.64368	4.49032	5.07252	4.64896	4.78395	5.52174	4.02739	4.21557	3.5347	3.66808	2.24985
TNS4	1	1	2.26371	1	1	1	1	1	1	1	1	1	1
TOMM20L	1.87907	1	1	1.37224	3.07246	3.81828	1	1.23515	2.69123	1.78212	2.10517	1	1
TOMM40L	5.97622	23.9112	19.2203	6.91496	5.91567	6.06865	6.29572	7.07654	9.11945	7.5582	9.04907	5.22129	5.78255
TP53BP1	35.1137	1	5.1062	61.4005	34.7207	39.5756	66.883	51.4146	40.6935	41.2097	36.7682	19.1127	12.3872
TPGS1	1	50.6225	23.867	1	1	1	1	1	1	1	1	6.21265	7.79402
TPTE2	1	1	1	1	1	1	1	1	1	1	1	1	1
TRAM1	72.8765	48.1986	59.5629	104.725	65.335	80.8903	99.7648	76.7601	60.2761	59.6719	58.6217	114.737	116.586
TRIB2	43.445	6.39329	16.4993	20.2105	35.0673	36.3765	15.9271	14.1046	52.8863	51.4806	53.4074	25.0386	4.72657
TRIL	3.37459	1	3.17259	1.01042	2.09966	3.15371	1.10948	1	2.06058	2.08777	2.45644	3.97842	1.34069
TRIM38	1	6.64091	9.19052	1.02693	1	1	1	1.23638	1	1	1	5.93053	11.3862
TRIM51HP	1	1	1	1	1	1	1	1	1	1	1	1	1
TRIM77	1	1	1	1	1	1	1	1	1	1	1	1	1
TRIQK	16.4027	5.89987	7.56334	11.1817	17.4447	19.417	9.09377	8.87405	10.276	10.8739	9.36427	15.5167	17.6344
TRMT2B	6.48604	4.14355	8.41708	8.13604	6.24343	6.51123	6.63779	6.84363	9.33309	9.51286	8.54402	5.69401	8.17603
TRMT5	9.83103	1	3.72666	8.33693	11.0549	13.3952	7.56883	5.97066	10.0963	9.7337	10.2486	4.67871	4.49221
TRPC1	11.5756	1	1.22858	10.8698	15.2175	16.1374	9.85725	9.32708	9.03426	9.19189	9.68326	3.56176	1.60581
TSHB	1	1	1	1	1	1	1	1	1	1	1	1	1
TSHZ1	5.50339	9.28246	7.50922	1	4.49428	2.98699	1	1	1	1	1	20.5747	21.1442
TSPAN3	100.551	111.01	110.036	55.3292	102.802	117.466	57.782	39.7014	44.1531	41.6414	45.2189	128.578	116.606
TSPAN6	64.1677	5.05215	9.77906	40.3544	66.6514	79.295	39.573	26.8563	37.5625	36.9159	40.5365	36.2882	39.3006
TSTA3	11.2897	102.702	80.7046	11.1035	10.8097	7.14984	14.9408	23.8465	19.5051	19.5937	21.2321	23.6219	30.1377
TTC12	4.22564	1	2.1038	4.85588	4.85054	5.4246	6.061	5.96864	3.00212	2.68493	3.41906	4.1268	8.27454
TTC13	7.0489	2.46906	3.86525	8.19673	5.40076	7.69947	9.73928	6.12915	5.52536	5.57045	5.70903	7.95497	6.97027
TTC14	19.3962	4.8189	8.04234	21.2256	20.3434	21.9894	19.7778	15.8003	15.2651	15.9277	14.1201	25.8122	23.6958
TTN-AS1	2.20076	1	2.01796	5.02042	3.64826	3.40235	8.17535	6.94724	4.39491	4.85139	3.63495	4.03111	2.83295
TUBB8	1	1	1	1	1	1	1	1	1	1	1	1	1
TUBE1	10.7951	3.45301	7.02278	8.30469	10.1322	13.4034	10.7352	6.01997	8.27462	8.32571	8.05398	7.6049	8.57253
TXNDC12	64.5426	20.3367	40.8216	58.5833	68.3996	75.2255	60.123	41.7623	56.3298	53.0314	55.3009	25.6836	32.5038
TXNDC9	24.8287	29.1514	23.9966	53.7778	26.6156	34.4307	46.5982	31.3899	36.6693	38.0604	40.0716	9.48267	8.9882
UBA6	21.8559	5.57703	5.21591	26.1644	25.3351	30.3176	22.9315	20.835	20.4778	22.5908	20.3386	10.503	9.90021
UBA6-AS1	8.60882	4.61954	3.3965	7.79842	8.57149	8.46215	7.59225	5.88991	7.70001	7.11072	6.7835	3.86399	6.57508
UBE4A	15.4695	11.3908	12.4717	27.6146	14.7488	17.5694	27.8472	20.7538	20.4869	22.7555	19.9635	21.2618	24.1993
UBR2	9.1386	8.73574	6.05876	11.9965	10.6609	12.1132	12.9404	10.2798	11.037	10.5615	9.43381	13.306	13.0077
UBTD2	58.0601	19.6865	20.3247	33.3749	53.6968	69.5563	32.2781	23.6158	39.7458	40.6697	44.3088	21.9004	23.2637
UCK1	15.077	19.2318	14.8576	9.60115	13.4554	13.5119	9.62733	10.3617	12.9022	12.2884	12.7148	13.4576	17.229
UCN3	1	1	3.82406	1	1	1	1	1	1	1	1	1.92675	4.54725
UEVLD	4.52626	3.85619	5.07571	10.3936	4.42603	5.47212	9.35856	7.65303	6.47421	5.72779	5.61303	7.83618	7.71889
UGT2A1	1	1	1	1	1	1	1	1	1	1	1	1	1
UGT2A2	1	1	1	1	1	1	1	1	1	1	1	1	1
UGT3A1	1.92381	4.94975	1.50105	2.67613	1.99606	2.37298	2.54537	2.26241	2.33193	2.60633	2.24243	1.56545	108.4
UNC13B	11.7449	10.7094	10.9212	15.3417	13.0744	12.4812	18.258	18.5434	19.1563	19.4405	17.9434	15.3436	12.4478
UQCRB	38.6445	53.582	26.047	48.8897	36.0399	40.5666	38.0867	29.2438	31.2287	31.1066	35.4144	12.874	14.946
UQCRFS1	55.6941	216.043	198.061	61.2813	55.4928	67.6054	61.8777	45.1702	90.8408	86.8384	93.2924	22.1345	34.919
USP15	8.51193	16.4198	6.56573	8.50745	7.91007	10.831	9.5675	7.80146	11.2385	11.2683	10.3823	10.3693	10.1682
USP17L3	1	1	1	1	1	1	1	1	1	1	1	1	1
USP17L8	1	1	1	1	1	1	1	1	1	1	1	1	1
USP29	1	1	1	1	1	1	1	1	1	1	1	1	1
USP51	5.53461	1	1	11.251	5.78075	7.1335	10.1632	8.79302	3.23976	3.64739	2.95153	3.39434	5.08942
USP54	12.0643	1.61194	5.09355	19.633	12.7087	12.084	23.1211	19.4927	11.9096	11.5757	11.3472	13.5254	10.8278
UTP20	12.8556	1	2.06925	16.3096	12.8084	17.1211	18.738	12.8632	25.9829	27.5328	24.1198	4.21357	3.69693
VAPA	27.0538	38.3166	23.2901	27.5213	27.9476	35.191	26.0466	18.8948	20.9692	21.4916	21.2219	19.7111	22.2247
VIL1	1	330.557	73.8802	1.23118	1	1	1.41625	1.68217	2.84594	2.61746	3.12941	110.893	233.593
VIPAS39	15.938	7.63538	8.62418	16.7772	16.6245	19.8005	19.1013	16.231	15.3248	13.9473	13.3338	11.1093	14.5352
VRK2	17.6173	9.14767	4.60757	32.5659	20.0424	22.8188	29.3744	23.1853	29.6649	30.5428	24.8802	8.98805	10.1937
VSIG1	1	1	1	1	1	1	1	1	1.23417	1.40175	1.34752	1	1
VSNL1	2.28098	1	1	1.05173	1.70275	2.16571	1.25624	1	59.6386	55.442	60.9572	1	1
VWA2	7.82764	1	3.07644	1	9.76471	13.9854	1	1	1.26605	1.47196	1.41118	3.56613	7.05585
WAC	59.1289	30.2191	18.8006	65.4476	63.6154	74.5853	62.9588	50.6462	50.8414	51.0718	49.2616	28.828	28.1524
WAC-AS1	5.31038	5.34091	4.68803	8.96199	5.7183	6.58431	8.16073	6.84792	6.11617	6.36544	5.72901	3.00004	3.06505
WBP11	62.3453	15.5935	28.7041	59.2744	66.4129	75.6363	56.2859	51.7219	74.6067	76.1154	71.6497	20.719	30.0596
WBP4	10.8883	13.5774	7.15175	12.7174	10.8886	12.66	10.7369	8.65643	8.49396	9.37444	9.09989	8.6619	10.1897
WDFY3	6.19592	1.44487	2.54378	13.761	5.53914	6.55857	15.6278	13.4406	9.88307	10.7537	8.68405	8.60069	8.32838
WDFY3-AS2	1.46178	1	1	1	1.90392	2.23468	2.34336	1.3777	1.84112	1.06016	1.46106	1	1.32857
WDR26	23.6133	12.1499	9.5015	40.4048	24.7432	27.586	40.4087	31.7014	32.2428	33.2513	30.4285	21.6509	22.7571
WDR3	39.9285	3.92698	5.40045	18.5652	44.6752	55.3427	19.5839	12.288	42.8233	44.5043	44.2009	8.25835	9.50301
WDR31	1.52964	1	1.1486	2.0344	1.71725	1.73785	1.1191	1.49705	1	1	1	1.34497	1
WDR82	60.3805	30.8641	42.5474	52.9852	54.3167	63.6328	55.2685	41.9234	48.3389	50.975	50.2027	32.6733	30.829
WDR93	1	1	1	1	1	1	1	1	1	1	1	1	1
WNT5A	83.7611	1	1.13662	1	90.7153	101.446	1	1	1.13766	1.22208	1	4.71183	3.60271
WNT5B	26.4088	1.21702	3.84643	1	44.3642	35.8374	1	1	1	1	1	3.24832	1.89534
WTAPP1	1	1	1	1	1	1	1	1	1	1	1	1	1
XDH	1	36.5944	17.8003	1	1	1	1	1	1	1	1	17.8327	59.5768
XPNPEP1	37.812	85.5256	30.7674	24.4075	37.0191	36.2518	23.3118	25.1036	30.0434	28.819	27.5647	22.8317	40.2503
XPR1	21.6359	4.92092	6.75476	13.8003	20.2092	23.1878	12.937	10.7425	19.7991	21.2115	19.2985	13.3358	8.53786
YBX1	296.185	291.612	357.282	191.541	291.992	319.894	188.589	162.505	275.975	256.057	287.63	38.7222	126.453
YEATS4	60.8228	11.2619	15.6426	60.4748	66.2804	81.5501	52.0551	33.1207	59.5367	58.4073	65.7381	10.1977	12.9856
YIPF5	27.7185	20.4602	15.3898	34.5265	25.6072	31.9917	33.5697	25.9692	18.2962	17.3803	17.6127	17.1404	22.3856
ZADH2	7.74205	6.35546	12.3923	2.50599	7.16149	6.70085	2.27077	2.45246	1	1.00286	1.06798	19.7584	17.4797
ZBBX	1.09076	1	1	1	1.47026	1.41426	1	1	1	1	1	1	1
ZBTB43	4.77185	2.1272	3.47291	6.51358	5.39664	5.10341	7.0628	6.27349	5.52553	6.07774	5.32429	5.12863	5.45151
ZCCHC16	1	1	1	1	1	1	1	1	1	1	1	1	1
ZCWPW2	1.08902	1	1	1	1	1	1	1	1	1	1	1	1
ZDHHC11	1	2.0046	1.23185	1	1	1	1.42912	1.43535	2.66116	1.63167	2.39202	1	2.85426
ZDHHC20	34.4211	9.16102	18.5566	39.7023	34.8533	40.252	38.4156	33.6013	37.8067	38.5125	36.6886	23.6638	25.2559
ZFP57	1	2.17175	1	1	1	1	1	1	1.14776	1	1.31109	1	1
ZFP62	20.6898	2.56613	9.51701	10.1995	24.5668	25.6769	9.20006	9.41714	13.6766	12.9674	12.6185	15.7182	16.5849
ZFP82	10.9246	1	1	9.51609	10.6238	11.5685	9.63891	8.7843	10.374	10.3244	7.95346	3.25765	2.00219
ZIC2	30.2645	1	1	119.504	17.9697	29.5054	106.538	92.5919	74.3102	78.4009	83.6934	1	1
ZIC5	13.7064	1	1	10.7287	8.48343	12.1116	8.29365	8.44752	36.9364	39.1181	40.1668	1	1
ZIK1	15.6449	1	2.00894	24.8805	16.5477	17.5384	26.0372	18.2072	23.9795	23.4406	23.4925	3.35979	3.03492
ZNF16	7.56917	12.4223	5.40722	4.07171	7.59768	7.82549	4.62868	4.25808	5.02645	5.23642	4.65453	4.60321	4.46788
ZNF195	31.4275	11.8477	12.2197	41.3946	32.9197	37.8517	37.9463	27.7798	45.3331	45.3245	49.1509	8.60645	12.1692
ZNF207	139.418	53.4302	44.7376	158.847	142.12	158.332	167.722	128.227	154.034	154.067	150.616	54.4752	57.2604
ZNF223	4.61012	2.71828	3.29317	5.18122	3.91882	4.67323	6.09342	5.17899	4.41507	4.40996	3.45147	7.92147	8.15785
ZNF23	9.10751	2.37764	3.82646	12.5923	9.29938	10.6273	11.0535	8.5302	8.82056	8.821	8.38607	4.57481	5.41092
ZNF268	14.0508	1.17127	4.05592	18.1015	15.2012	17.1727	21.7332	14.6671	9.94782	10.429	9.65435	6.73001	9.34859
ZNF287	3.45723	1	1	2.27	3.43198	4.23467	2.7576	2.10799	2.25293	2.32366	1.95813	1.92915	1.12107
ZNF337	7.78828	4.41348	3.40867	9.38362	7.58481	8.12994	9.89637	9.34885	7.58385	6.80695	7.02345	10.4187	10.0669
ZNF415	10.7324	1	2.57511	9.51367	11.0827	11.2704	9.24565	8.29056	7.40999	7.11234	6.68335	10.6328	17.881
ZNF440	7.48153	3.9282	5.86181	8.04074	7.33197	8.95253	7.2387	5.80044	3.83273	3.8055	3.40284	4.37217	5.89388
ZNF503	15.672	5.25227	20.4995	1	17.2675	19.3674	1	1	1	1	1	6.71227	6.46634
ZNF503-AS2	2.17472	1	3.31078	1	2.37907	1.84179	1	1	1	1	1	1	1.26686
ZNF519	6.20638	1	1	5.01908	6.17597	6.57104	4.35014	3.09915	7.51025	9.007	8.00798	1.55703	1.09401
ZNF530	3.10442	1	1	5.44996	3.59697	3.75044	5.85128	4.70142	4.03813	4.45671	3.64736	1.26866	1.56192
ZNF540	1	1.22904	1	1	1	1	1	1	1	1	1	1.92527	1.73658
ZNF557	1.66032	1	1.69697	2.44981	1.47346	1.68815	2.47173	1.87456	1.53224	1.54493	1.43861	1.95309	2.35478
ZNF569	7.53757	1.55919	1.04017	8.61537	7.95708	8.7971	8.64383	6.18074	6.46416	6.96213	6.20971	2.03923	1.45346
ZNF570	4.42373	1.76897	1.0871	3.76313	4.78301	5.28695	3.47505	3.74333	2.21956	3.33505	2.51019	2.37114	2.11124
ZNF571	3.02623	1.72734	1.01096	3.45417	3.04792	3.45988	2.49268	3.22203	3.05405	2.67763	2.31289	2.92855	2.18522
ZNF608	18.2067	1.9864	6.52871	42.7379	15.3037	16.8923	43.977	41.683	16.2766	16.5343	15.2726	18.8171	14.4957
ZNF706	15.6157	45.3211	18.3243	7.8094	14.699	16.3629	7.02573	6.48804	8.43724	8.3783	9.32658	8.62321	9.55697
ZNF713	3.72111	1	1	3.5923	2.56953	3.38566	3.14415	3.06522	1.7027	2.39761	2.19434	2.90907	1.78501
ZNF726	1	1	1	1	1	1	1	1	1	1	1	1	1
ZNF75A	11.615	12.5527	6.2816	25.2439	11.4512	14.6111	25.3148	14.0389	10.9836	11.1486	12.2421	6.23312	8.62772
ZNF780A	9.41222	2.57507	4.95723	9.83733	9.84292	12.0233	8.68469	7.51608	5.81807	5.95797	4.77193	7.30578	7.57801
ZNF793	4.58157	1	1	5.96011	4.47109	4.75697	5.38011	4.44972	3.68068	4.01863	3.99539	3.26199	2.90151
ZNF821	5.07448	9.51289	5.50847	4.78733	4.4003	3.68315	5.6001	6.07116	3.95677	3.70121	4.62864	6.09788	4.64683
ZNF83	16.7998	4.51979	8.81736	30.3031	17.3827	18.4292	27.8045	25.8369	14.9693	16.5015	14.4658	24.2901	23.9396
ZPLD1	1	1	1	1	1	1	1	1	1	1	1	1	1
ZSCAN12	13.9764	1.74188	2.77705	7.36797	14.6787	15.1376	7.59182	7.97409	9.27754	8.64546	8.05531	5.99219	5.6719
ZZZ3	28.7805	4.95934	8.96253	24.7243	30.828	36.8094	25.1534	19.5712	22.9464	23.4073	20.5202	15.9962	17.9606
