chrome	start	end	peak	refseqID	Gene_Symbol	distance	score
chr1	149577783	149577784	MACS_peak_636	NR_024584	LINC00623	2302	0.446224391587
chr6	96008668	96008669	MACS_peak_11347	NR_104136	MANEA-AS1	-16659	0.0657957521319
chr14	101308554	101308555	MACS_peak_4137	NR_046473	MEG3	16110	0.0707926568832
chr1	160312402	160312403	MACS_peak_671	NM_015331	NCSTN	-660	0.555437048698
chr11	57554688	57554689	MACS_peak_2085	NM_001206887	CTNND1	25455	0.0203637279987
chr1	156154131	156154132	MACS_peak_653	NM_001199654	PMF1	-28647	0.01330520456
chr17	46072890	46072891	MACS_peak_5059	NM_001278197	CDK5RAP3	24997	0.021646027399
chr1	228620764	228620765	MACS_peak_1020	NM_033445	HIST3H2A	-24796	0.0222339843659
chr1	47119361	47119362	MACS_peak_150	NM_001145474	TEX38	-18143	0.0539840489069
chr14	101308554	101308555	MACS_peak_4137	NR_046467	MEG3	16110	0.0707926568832
chr1	16993445	16993446	MACS_peak_55	NM_001282321	FAM231A	-6052	0.270648774609
chr15	73947063	73947064	MACS_peak_4431	NM_012428	NPTN	21310	0.0353897399302
chr3	37007358	37007359	MACS_peak_7934	NM_001258273	MLH1	-27482	0.0155411075345
chr7	23763903	23763904	MACS_peak_11897	NM_032944	STK31	13959	0.0943069868838
chr2	128300933	128300934	MACS_peak_6478	NM_001080527	MYO7B	7556	0.221470326045
chr5	147446634	147446635	MACS_peak_10671	NM_001127699	SPINK5	3100	0.401184710383
chr15	73947063	73947064	MACS_peak_4431	NM_001024736	CD276	-29558	0.0117833628935
chr1	162759053	162759054	MACS_peak_681	NM_016371	HSD17B7	-1438	0.50070742359
chr11	62609227	62609228	MACS_peak_2115	NR_002564	SNORD26	-13611	0.0987859392144
chr1	154946837	154946838	MACS_peak_650	NM_001826	CKS1B	-280	0.58430432155
chr1	53020593	53020594	MACS_peak_175	NM_001009881	ZCCHC11	1831	0.475145914674
chr9	84332661	84332662	MACS_peak_13721	NM_005077	TLE1	28211	0.0141016048819
chr4	71429903	71429904	MACS_peak_9134	NM_016519	AMBN	-28071	0.014367307011
chr12	53507662	53507663	MACS_peak_2733	NM_003578	SOAT2	10389	0.151798696654
chr7	123284056	123284057	MACS_peak_12409	NM_207163	LMOD2	-11804	0.125698805443
chr12	42864388	42864389	MACS_peak_2682	NM_001144882	PRICKLE1	-13409	0.101482727574
chr1	156154131	156154132	MACS_peak_653	NM_001286184	SLC25A44	-9591	0.168840634513
chr7	130081299	130081300	MACS_peak_12455	NR_046443	CEP41	248	0.586802679362
chr15	95377892	95377893	MACS_peak_4524	NR_077061	LOC440311	-20699	0.0383935168119
chr15	95384319	95384320	MACS_peak_4525	NR_077061	LOC440311	-14272	0.0904522372006
chr8	23328401	23328402	MACS_peak_12697	NM_001128930	ENTPD4	13157	0.104950479208
chr7	15607666	15607667	MACS_peak_11833	NM_001004320	AGMO	6026	0.271588651874
chr4	124339876	124339877	MACS_peak_9445	NM_005841	SPRY1	19232	0.0466880672296
chr11	26564803	26564804	MACS_peak_1930	NM_001135092	MUC15	-29012	0.0126731884009
chr20	18014042	18014043	MACS_peak_7250	NM_021220	OVOL2	-24484	0.0231784263108
chr1	47119361	47119362	MACS_peak_150	NM_001042546	ATPAF1	-14738	0.0850031753044
chr2	220143636	220143637	MACS_peak_7061	NR_029688	MIR153-1	-15286	0.0790137545586
chr3	129051362	129051363	MACS_peak_8393	NM_006026	H1FX	16242	0.0695576064465
chr10	103124649	103124650	MACS_peak_1659	NM_003939	BTRC	10860	0.142558904468
chr1	154946837	154946838	MACS_peak_650	NM_183001	SHC1	3614	0.374611171602
chr8	94956365	94956366	MACS_peak_13099	NM_018444	PDP1	27283	0.0159589842362
chr19	39328435	39328436	MACS_peak_5774	NM_006149	LGALS4	24695	0.0225354271814
chr11	57554688	57554689	MACS_peak_2085	NM_001085463	CTNND1	25455	0.0203637279987
chr1	147394575	147394576	MACS_peak_624	NM_005267	GJA8	19630	0.0442750780117
chr1	154946837	154946838	MACS_peak_650	NR_024163	CKS1B	-280	0.58430432155
chr3	170092545	170092546	MACS_peak_8600	NM_005414	SKIL	17073	0.0622622484963
chr1	110979602	110979603	MACS_peak_531	NR_102697	LAMTOR5-AS1	29172	0.0124056905043
chr12	24383266	24383267	MACS_peak_2581	NR_120472	LOC101928471	7062	0.236548977374
chr17	56442883	56442884	MACS_peak_5113	NR_038415	BZRAP1-AS1	28321	0.0138962906616
chr3	111809572	111809573	MACS_peak_8326	NM_001171747	C3orf52	4391	0.337744135183
chr11	57554688	57554689	MACS_peak_2085	NM_001206883	CTNND1	25455	0.0203637279987
chr1	113477165	113477166	MACS_peak_542	NR_002796	AKR7A2P1	11194	0.136349568638
chr7	107204817	107204818	MACS_peak_12303	NM_018844	BCAP29	-15604	0.0757336019955
chr7	31593358	31593359	MACS_peak_11958	NM_194300	CCDC129	743	0.5493240994
chr9	112876864	112876865	MACS_peak_13860	NM_001136562	AKAP2	-10916	0.141498428684
chr12	66270860	66270861	MACS_peak_2808	NM_001292024	LOC100129940	-5087	0.307811816949
chr1	100301671	100301672	MACS_peak_461	NM_000644	AGL	-14373	0.0892423121864
chr1	100302141	100302142	MACS_peak_462	NM_000644	AGL	-13903	0.0950137811341
chr14	101308554	101308555	MACS_peak_4137	NR_046471	MEG3	16110	0.0707926568832
chr11	57554688	57554689	MACS_peak_2085	NM_001206890	CTNND1	25455	0.0203637279987
chr1	228620764	228620765	MACS_peak_1020	NM_145214	TRIM11	26247	0.0183229666097
chr3	98427687	98427688	MACS_peak_8236	NM_001271148	ST3GAL6	-23392	0.0268112599227
chr3	98453016	98453017	MACS_peak_8237	NM_001271148	ST3GAL6	1937	0.468477751762
chr3	2175052	2175053	MACS_peak_7753	NR_046555	CNTN4-AS2	-10873	0.142312016398
chr2	220143636	220143637	MACS_peak_7061	NM_001278552	TUBA4A	24306	0.0237351074481
chr1	236666632	236666633	MACS_peak_1056	NM_201544	LGALS8	-20394	0.0399870350963
chr1	236666632	236666633	MACS_peak_1056	NM_201543	LGALS8	-20106	0.0415523999009
chr19	54116179	54116180	MACS_peak_5809	NR_002938	LOC284379	9428	0.172550269656
chr4	20278731	20278732	MACS_peak_8845	NM_004787	SLIT2	23545	0.0262698513635
chr1	148356565	148356566	MACS_peak_627	NM_015383	NBPF14	9809	0.164003638297
chr13	46255817	46255818	MACS_peak_3285	NR_125786	LINC01055	-19502	0.0450371908745
chr7	130081299	130081300	MACS_peak_12455	NM_001257159	CEP41	248	0.586802679362
chr3	55547310	55547311	MACS_peak_8006	NM_003392	WNT5A	25640	0.0198675671817
chr8	23328401	23328402	MACS_peak_12697	NM_004901	ENTPD4	13157	0.104950479208
chr22	23584433	23584434	MACS_peak_7642	NR_033408	FBXW4P1	-20520	0.0393208644087
chr12	11325065	11325066	MACS_peak_2503	NM_001271592	LOC100129361	1286	0.510958621974
chr1	147012260	147012261	MACS_peak_622	NM_004326	BCL9	-1010	0.530112162924
chr1	154946837	154946838	MACS_peak_650	NR_036212	MIR4258	-1331	0.507902049131
chr12	12929399	12929400	MACS_peak_2513	NM_030817	APOLD1	-9141	0.179281156268
chr17	46072890	46072891	MACS_peak_5059	NM_001278216	CDK5RAP3	24569	0.0229172204417
chr8	82382204	82382205	MACS_peak_12996	NM_001442	FABP4	-13269	0.103394862896
chr7	26574827	26574828	MACS_peak_11917	NR_022006	KIAA0087	-3617	0.374461357098
chr13	35214393	35214394	MACS_peak_3221	NR_047036	LINC00457	-429	0.572810690458
chr20	18014042	18014043	MACS_peak_7250	NM_001303461	OVOL2	-25790	0.0194741629934
chr2	233637080	233637081	MACS_peak_7129	NM_001172416	KCNJ13	-4195	0.346686857878
chr11	57554688	57554689	MACS_peak_2085	NM_001085464	CTNND1	25455	0.0203637279987
chr4	175763282	175763283	MACS_peak_9773	NR_125900	LOC101928551	10404	0.151495402656
chr1	145281990	145281991	MACS_peak_618	NM_001039703	NBPF10	-11380	0.13300968507
chr7	130081299	130081300	MACS_peak_12455	NM_001257158	CEP41	248	0.586802679362
chr3	5031072	5031073	MACS_peak_7762	NM_003670	BHLHE40	9976	0.160392180725
chr20	50142833	50142834	MACS_peak_7370	NM_001258296	NFATC2	-16425	0.0678809393718
chr9	114367144	114367145	MACS_peak_13868	NR_034087	LRRC37A5P	-8689	0.190418055211
chr1	225965963	225965964	MACS_peak_1007	NM_003133	SRP9	449	0.571285230135
chr1	154946837	154946838	MACS_peak_650	NM_020524	PBXIP1	18270	0.0530776151436
chr10	126488006	126488007	MACS_peak_1790	NM_212554	METTL10	7496	0.22324919464
chr3	98427687	98427688	MACS_peak_8236	NM_006100	ST3GAL6	-23860	0.0251893666126
chr3	98453016	98453017	MACS_peak_8237	NM_006100	ST3GAL6	1469	0.498642104173
chr9	37574385	37574386	MACS_peak_13585	NM_001001790	TOMM5	-18251	0.0532122488994
chr7	107204817	107204818	MACS_peak_12303	NR_073003	DUS4L	416	0.573804423308
chr6	11258954	11258955	MACS_peak_10912	NM_182966	NEDD9	26039	0.0188382355879
chr8	6474482	6474483	MACS_peak_12620	NR_107022	MIR8055	-5259	0.300832995631
chr12	53569242	53569243	MACS_peak_2734	NM_001004304	ZNF740	-5292	0.299512238247
chr3	189524087	189524088	MACS_peak_8718	NM_001114982	TP63	16639	0.0659714416195
chr10	5229468	5229469	MACS_peak_1139	NR_027916	AKR1C8P	2318	0.445273460905
chr7	156459581	156459582	MACS_peak_12583	NM_001184997	RNF32	23911	0.0250186599799
chr1	32410082	32410083	MACS_peak_96	NM_080391	PTP4A2	6094	0.269137377334
chr15	73947063	73947064	MACS_peak_4431	NM_017455	NPTN	21310	0.0353897399302
chr9	84332661	84332662	MACS_peak_13721	NM_001303104	TLE1	28211	0.0141016048819
chr1	156154131	156154132	MACS_peak_653	NM_007221	PMF1	-28647	0.01330520456
chr16	86306150	86306151	MACS_peak_4876	NR_038438	LOC146513	-13886	0.095229389969
chr1	100301671	100301672	MACS_peak_461	NM_000642	AGL	-13968	0.0941938863735
chr1	100302141	100302142	MACS_peak_462	NM_000642	AGL	-13498	0.10028558298
chr21	9827464	9827465	MACS_peak_7434	NR_037458	MIR3687-1	1262	0.512596308466
chr11	58696329	58696330	MACS_peak_2092	NM_080661	GLYATL1	-14392	0.0890165177892
chr17	46072890	46072891	MACS_peak_5059	NM_176096	CDK5RAP3	24569	0.0229172204417
chr14	101308554	101308555	MACS_peak_4137	NR_046464	MEG3	16110	0.0707926568832
chr6	11258954	11258955	MACS_peak_10912	NM_001271033	NEDD9	26039	0.0188382355879
chr1	113477165	113477166	MACS_peak_542	NR_103743	SLC16A1-AS1	-21871	0.0328391678799
chr1	232900480	232900481	MACS_peak_1034	NR_110683	LOC101927683	22019	0.032197493642
chr11	57554688	57554689	MACS_peak_2085	NM_001206888	CTNND1	25455	0.0203637279987
chr4	154126239	154126240	MACS_peak_9627	NM_001302692	TRIM2	674	0.554401199967
chr1	202503308	202503309	MACS_peak_890	NM_001197131	PPP1R12B	-5933	0.274977317464
chr14	101308554	101308555	MACS_peak_4137	NR_039729	MIR2392	27727	0.0150416338407
chr1	167135329	167135330	MACS_peak_707	NR_110811	LINC01363	-29713	0.011542339217
chr1	228620764	228620765	MACS_peak_1020	NM_001134855	TRIM17	16181	0.0701256485521
chr11	125037594	125037595	MACS_peak_2404	NR_125759	PKNOX2-AS1	3089	0.401773546333
chr3	189524087	189524088	MACS_peak_8718	NM_001114981	TP63	16639	0.0659714416195
chr8	94956365	94956366	MACS_peak_13099	NM_001161779	PDP1	27191	0.0161559533838
chr12	22475282	22475283	MACS_peak_2562	NM_001304450	ST8SIA1	-12366	0.116624022665
chr14	101308554	101308555	MACS_peak_4137	NR_046470	MEG3	16110	0.0707926568832
chr1	145281990	145281991	MACS_peak_618	NR_104217	NBPF25P	-7779	0.21498220967
chr6	52626867	52626868	MACS_peak_11119	NR_033760	GSTA7P	16910	0.0636302262096
chr2	114631883	114631884	MACS_peak_6412	NM_001277140	ACTR3	-16291	0.069104644704
chr7	23763903	23763904	MACS_peak_11897	NM_031414	STK31	14118	0.0923287224569
chr10	126488006	126488007	MACS_peak_1790	NM_032182	FAM175B	-2347	0.443555061237
chr22	29180183	29180184	MACS_peak_7674	NM_005080	XBP1	-16377	0.0683167705559
chr14	23637748	23637749	MACS_peak_3702	NM_001267037	SLC7A8	14089	0.0926864179493
chr7	22882473	22882474	MACS_peak_11889	NR_003075	SNORD93	-13758	0.0968685862453
chr13	46255817	46255818	MACS_peak_3285	NM_001286342	SPERT	-20786	0.0379507251735
chr3	4362436	4362437	MACS_peak_7758	NM_006515	SETMAR	17449	0.059217786574
chr1	100301671	100301672	MACS_peak_461	NM_000645	AGL	-25094	0.0213678747093
chr1	100302141	100302142	MACS_peak_462	NM_000645	AGL	-24624	0.0227497755402
chr12	42864388	42864389	MACS_peak_2682	NM_001144881	PRICKLE1	-13028	0.106771241115
chr9	114367144	114367145	MACS_peak_13868	NM_001146108	PTGR1	5009	0.311029764167
chr5	42812054	42812055	MACS_peak_10090	NM_005410	SEPP1	30	0.604109382856
chr20	18014042	18014043	MACS_peak_7250	NM_001303462	OVOL2	-25790	0.0194741629934
chr1	53020593	53020594	MACS_peak_175	NM_015269	ZCCHC11	1831	0.475145914674
chr1	149577783	149577784	MACS_peak_636	NR_111957	LOC103091866	1522	0.4951307879
chr8	86750960	86750961	MACS_peak_13040	NR_003594	REXO1L2P	-6801	0.244925793008
chr7	130081299	130081300	MACS_peak_12455	NM_001257160	CEP41	248	0.586802679362
chr22	26964432	26964433	MACS_peak_7660	NM_003595	TPST2	-21657	0.0337896748828
