# Argument List:
# Name = D4cF_Cdx2_NO_k27ac_BMinus_10kb
# peak file = D4cf_Cdx2_NO_k27ac.bed
# distance = 10000 bp
#Chromsome	TSS	TTS	RefseqID	Score	Strand	GeneSymbol
chr7	27179982	27195547	NR_038832	1.008	+	HOXA-AS3
chr12	54422193	54424607	NM_004503	0.883	+	HOXC6
chr12	54447660	54449814	NM_153633	0.798	+	HOXC4
chr10	77163922	77168740	NR_110302	0.757	+	ZNF503-AS2
chr7	27161537	27168379	NR_122069	0.729	+	HOXA-AS2
chr17	46652868	46655743	NM_024015	0.720	-	HOXB4
chr17	46657199	46657309	NR_029608	0.711	-	MIR10A
chr4	41746098	41750987	NM_003924	0.710	-	PHOX2B
chr9	68427782	68454375	NR_033907	0.699	-	LOC642236
chr7	27168125	27170399	NM_002141	0.697	-	HOXA4
chr10	77163634	77168740	NR_110300	0.674	+	ZNF503-AS2
chr12	54427733	54427829	NR_030753	0.664	+	MIR615
chr12	54410635	54449814	NM_014620	0.655	+	HOXC4
chr12	54410635	54424607	NM_153693	0.655	+	HOXC6
chr12	54410635	54429144	NR_003084	0.655	+	HOXC5
chr2	158383278	158485399	NM_001111032	0.653	-	ACVR1C
chr2	158383278	158485399	NM_001111033	0.653	-	ACVR1C
chr2	158383278	158485399	NM_145259	0.653	-	ACVR1C
chr3	157827840	158262624	NM_001271838	0.651	+	RSRC1
chr3	157827840	158262624	NM_016625	0.651	+	RSRC1
chr3	157827840	158262624	NM_001271834	0.651	+	RSRC1
chr10	77163513	77168740	NR_024422	0.643	+	ZNF503-AS2
chr12	54426831	54429144	NM_018953	0.641	+	HOXC5
chr6	125304509	125407484	NM_152553	0.637	+	RNF217
chr6	125304509	125407484	NR_104440	0.637	+	RNF217
chr1	233759897	233759965	NR_039625	0.629	+	MIR4427
chr4	155665122	155674271	NM_004744	0.606	+	LRAT
chr12	123459249	123464588	NM_001304834	0.605	+	OGFOD2
chr12	123459249	123464588	NM_001304835	0.605	+	OGFOD2
chr12	123459249	123464588	NM_001304837	0.605	+	OGFOD2
chr12	123459249	123464588	NM_001304838	0.605	+	OGFOD2
chr12	123459249	123464588	NM_024623	0.605	+	OGFOD2
chr12	123459249	123464588	NM_001304836	0.605	+	OGFOD2
chr22	17737749	17747623	NR_038398	0.602	-	CECR3
chr10	44404751	44465355	NR_033846	0.597	+	LINC00841
chr20	26188821	26188914	NR_030386	0.597	-	MIR663A
chr12	1738411	1756378	NM_032642	0.597	+	WNT5B
chr2	38155901	38244890	NM_001170792	0.595	+	RMDN2
chr3	164696685	164796283	NM_001041	0.594	-	SI
chr1	220141941	220220000	NM_004446	0.592	-	EPRS
chr10	45471708	45474330	NM_007021	0.591	-	C10orf10
chr1	28906275	28906405	NR_002987	0.591	-	SNORA61
chr17	46667781	46679703	NR_033202	0.586	+	HOXB-AS3
chr17	46667781	46683774	NR_033201	0.586	+	HOXB-AS3
chr17	46667781	46679703	NR_110331	0.586	+	HOXB-AS3
chr8	95139393	95220815	NM_004063	0.585	-	CDH17
chr10	115999012	116054259	NM_001272046	0.582	+	VWA2
chr10	19337699	20023407	NM_001142308	0.581	+	MALRD1
chr12	57031958	57039852	NM_001686	0.576	-	ATP5B
chr7	27193337	27196296	NM_006896	0.573	-	HOXA7
chr10	92805564	92821916	NR_047467	0.568	+	LINC00502
chr1	44175075	44193014	NR_125986	0.565	-	LOC101929592
chr16	14805545	14820195	NM_001277323	0.562	+	NPIPA3
chr16	14805545	14820185	NM_001277324	0.562	+	NPIPA2
chr21	9825831	9826011	NR_037421	0.561	+	MIR3648-1
chr21	9825831	9826011	NR_128711	0.561	+	MIR3648-2
chr7	144015217	144016150	NM_001005287	0.560	+	OR2A1
chr7	144015217	144016150	NM_001001802	0.560	+	OR2A42
chr12	130636137	130646223	NR_033834	0.556	-	FZD10-AS1
chr7	107221203	107263762	NM_001008405	0.554	+	BCAP29
chr5	180274610	180288286	NM_152283	0.553	-	ZFP62
chr5	180274610	180288286	NM_001172638	0.553	-	ZFP62
chr7	27145808	27159214	NM_030661	0.553	-	HOXA3
chr12	101188373	101522419	NM_178826	0.548	+	ANO4
chr12	101188373	101522419	NM_001286615	0.548	+	ANO4
chr5	72143929	72210215	NM_153188	0.547	+	TNPO1
chr14	57267424	57272381	NM_172337	0.546	-	OTX2
chr14	57267424	57272381	NM_001270525	0.546	-	OTX2
chr14	57267424	57272381	NR_073036	0.546	-	OTX2
chr1	85093912	85100703	NR_027379	0.546	-	LINC01555
chr10	91675245	91717130	NR_110655	0.545	-	LINC01375
chr7	5965776	6010314	NM_173565	0.543	-	RSPH10B
chr7	5965776	6010314	NM_001099697	0.543	-	RSPH10B2
chr22	24198889	24228299	NM_030807	0.540	+	SLC2A11
chr22	24198889	24225139	NR_104248	0.540	+	SLC2A11
chr22	24198889	24228299	NM_001024938	0.540	+	SLC2A11
chr22	24198889	24228299	NR_104247	0.540	+	SLC2A11
chr18	14099941	14132489	NM_145287	0.539	-	ZNF519
chr18	14075988	14132489	NR_033354	0.539	-	ZNF519
chr13	103696347	103719196	NM_000452	0.538	-	SLC10A2
chr6	122931376	123047518	NM_032471	0.531	+	PKIB
chr6	122931376	123047518	NM_181795	0.531	+	PKIB
chr14	24805226	24809242	NM_006871	0.529	-	RIPK3
chr11	60048013	60076445	NM_148975	0.529	+	MS4A4A
chr11	60048013	60076445	NM_001243266	0.529	+	MS4A4A
chr11	60048013	60076445	NM_024021	0.529	+	MS4A4A
chr5	159518346	159546452	NM_001130864	0.528	-	PWWP2A
chr19	53611131	53636173	NM_018355	0.525	-	ZNF415
chr19	53611131	53636173	NR_028343	0.525	-	ZNF415
chr19	53611131	53636171	NM_001136038	0.525	-	ZNF415
chr19	53611131	53636171	NM_001164309	0.525	-	ZNF415
chr1	236305831	236372209	NM_003272	0.520	+	GPR137B
chr12	23328569	23344521	NR_120471	0.519	+	LOC101928441
chr2	16190548	16225811	NR_126559	0.519	+	GACAT3
chr13	51656983	51746358	NR_102432	0.519	-	LINC00371
chr9	94972489	95056038	NM_013417	0.518	-	IARS
chr9	94972489	95056038	NM_002161	0.518	-	IARS
chr9	94972489	95056038	NR_073446	0.518	-	IARS
chr3	24192814	24231447	NR_121667	0.517	+	LOC101927854
chr11	93466839	93466930	NR_031639	0.516	-	MIR1304
chr11	55418379	55419315	NM_001004059	0.516	+	OR4S2
chr11	30344645	30359770	NM_152316	0.514	+	ARL14EP
chr19	2754711	2783354	NM_003021	0.513	-	SGTA
chr1	96719624	96839681	NR_110693	0.512	-	LOC101928241
chr11	5988782	5989724	NM_001146033	0.511	-	OR56A5
chr6	99817347	99842082	NM_017421	0.507	-	COQ3
chr5	35960857	36001130	NM_001171873	0.507	-	UGT3A1
chr21	31538240	31538971	NM_012131	0.505	-	CLDN17
chr16	21269838	21314457	NM_001888	0.505	-	CRYM
chr3	405055	427478	NR_110739	0.505	-	CHL1-AS1
chr22	17956627	18037856	NM_001290047	0.499	+	CECR2
chr17	30677156	30697468	NM_003457	0.498	+	ZNF207
chr17	30677156	30697468	NM_001032293	0.498	+	ZNF207
chr17	30677156	30697468	NM_001098507	0.498	+	ZNF207
chr17	30677127	30677221	NR_030362	0.496	+	MIR632
chr12	123459749	123464588	NM_001304833	0.496	+	OGFOD2
chr4	15937192	15940363	NM_005130	0.493	-	FGFBP1
chr20	25653830	25677540	NM_015655	0.492	-	ZNF337
chr11	92877336	92930621	NM_001286139	0.491	-	SLC36A4
chr3	108474485	108476130	NM_032579	0.491	-	RETNLB
chr9	107536632	107540045	NR_024011	0.488	+	LOC286367
chr10	81914879	81964247	NM_001278408	0.487	-	ANXA11
chr10	77162811	77168740	NR_110299	0.485	+	ZNF503-AS2
chr13	51656983	51746524	NR_102431	0.485	-	LINC00371
chr12	130647003	130650285	NM_007197	0.485	+	FZD10
chr21	9826202	9826263	NR_037458	0.484	+	MIR3687-1
chr21	9826202	9826263	NR_128714	0.484	+	MIR3687-2
chr18	12702986	12725739	NM_020232	0.484	+	PSMG2
chr11	93466631	93466763	NR_002959	0.483	-	SNORA18
chr5	41730166	41870791	NM_000436	0.482	-	OXCT1
chr4	68926327	68929015	NR_027094	0.481	-	SYT14P1
chrX	7137471	7272682	NM_000351	0.481	+	STS
chr11	15987994	16497935	NM_033326	0.479	-	SOX6
chr22	24199186	24228299	NM_001282864	0.479	+	SLC2A11
chr7	143929003	143929936	NM_001005287	0.478	-	OR2A1
chr7	143929003	143929936	NM_001001802	0.478	-	OR2A42
chr17	46698518	46703835	NM_024017	0.474	-	HOXB9
chr3	157813799	157823952	NM_001163678	0.473	-	SHOX2
chr3	157813799	157823952	NM_006884	0.473	-	SHOX2
chr3	157813799	157823952	NM_003030	0.473	-	SHOX2
chr14	77893017	77923983	NM_001193315	0.473	-	VIPAS39
chr14	77893017	77923983	NM_001193314	0.473	-	VIPAS39
chr14	77893017	77923983	NM_001193317	0.473	-	VIPAS39
chr14	77893017	77923983	NM_022067	0.473	-	VIPAS39
chr14	77893017	77923983	NM_001193316	0.473	-	VIPAS39
chr7	156473569	156685902	NM_022458	0.472	-	LMBR1
chr2	176999568	177001826	NR_038435	0.471	-	HOXD-AS2
chr3	195426271	195426368	NR_030296	0.471	+	MIR570
chr2	201983268	202037411	NM_001127183	0.469	+	CFLAR
chr10	68685791	68861309	NM_178011	0.466	+	LRRTM3
chr11	50368317	50379802	NR_024504	0.462	+	LOC646813
chr1	28906892	28907024	NR_002976	0.462	-	SNORA44
chr17	41522173	41522253	NR_031751	0.460	+	MIR2117
chr10	77162654	77168740	NR_110301	0.456	+	ZNF503-AS2
chr20	58533470	58588168	NM_177980	0.456	+	CDH26
chr6	135356994	135376036	NM_001145207	0.455	-	HBS1L
chr1	117452544	117532980	NM_020440	0.450	+	PTGFRN
chr9	95054742	95054875	NR_003704	0.446	-	SNORA84
chr11	89443466	89451040	NM_001271942	0.446	+	TRIM77
chr11	89443466	89451040	NM_001146162	0.446	+	TRIM77
chr18	12672625	12702776	NM_024899	0.445	-	CEP76
chr18	12661954	12702776	NR_073537	0.445	-	CEP76
chr18	12672625	12702776	NM_001271989	0.445	-	CEP76
chr7	16250110	16310229	NR_038946	0.442	+	ISPD-AS1
chr7	16250110	16310229	NR_038947	0.442	+	ISPD-AS1
chr4	141309606	141348815	NM_004362	0.441	-	CLGN
chr4	141309606	141348815	NM_001130675	0.441	-	CLGN
chr12	54058943	54070512	NM_001002031	0.441	-	ATP5G2
chr11	47487488	47510576	NM_001172640	0.440	-	CELF1
chr11	47487488	47510576	NM_001025596	0.440	-	CELF1
chr14	31345384	31359014	NR_038356	0.440	-	LOC100506071
