Gene	Sample	RPKM
BASP1P1	ESC	0

C6orf211	Fetal-SI	18.446

ADAMTS18	Adult-SI	0

MIR764	ESC	0

MIR363	Endo	0

LOC100129345	D4CF	0

MIR1278	Fetal-SI	0

C4orf45	Adult-SI	0

SALL1	Adult-SI	0.254083

TNIP3	Fetal-SI	0.056775

CPO	D4CF	0.0169982

SCG5	Adult-SI	3.79175

MIR1972-2	Adult-SI	0

GZMA	Adult-SI	5.53829

GEMIN8	Endo	3.32279

KCP	Endo	1.28391

COL3A1	Endo	0.37531

PVR	Endo	8.33526

TMSB4X	ESC	1084.16

GNG3	Endo	1.53723

OR10A5	Fetal-SI	0

ZCCHC13	Fetal-SI	0

DIRAS3	ESC	0.0574049

DKK1	D4CF	60.4609

MIR4429	D4CF	0

ASB15	D4CF	0.00682786

CDCA7L	Adult-SI	5.76006

FAM186B	ESC	0.250717

HEXIM2	Adult-SI	8.33336

TTC9	Adult-SI	1.09676

MIR1972-2	Endo	0

CYTIP	Adult-SI	11.6855

RNASE9	Fetal-SI	0

JAKMIP2	ESC	6.57013

POPDC3	ESC	2.69367

ATF7IP2	Fetal-SI	8.61441

LDHC	ESC	1.68364

SYT16	D4CF	0.139017

TAB2	D4CF	42.185

FMO6P	D4CF	0

CCDC83	D4CF	0

TMPRSS11GP	ESC	0

SFN	ESC	1.03894

ANGPTL3	Fetal-SI	6.76286

RUFY3	Fetal-SI	18.2663

TAS2R5	Fetal-SI	3.80199

CLEC9A	ESC	0.0103583

MIR1244-1	Fetal-SI	0

